	COMMON.id	COMMON.assoc	COMMON.name	COMMON.xpos	COMMON.ypos	COMMON.width	COMMON.height	COMMON.attribs	COMMON.colorf	COMMON.colorb	COMMON.texturenumber	COMMON.fontnumber	COMMON.active	COMMON.commonattribs	COMMON.help	totalgadgets	VERSION.major	VERSION.minor	VERSION.revision	panel	crdefault	escdefault	defaultfocus	hotornot	text	status	quickkey	grayedout	stages	range	thick	knobpos	knobsize	filename	link	crtdefault	maxchars	itemheight
ReImagined HPI RAW\guis\ALLIES.GADGET23	1	0	ALLYx	145	12	38	20	1	0	0	0	0	1	0												0	0	0	4									
ReImagined HPI RAW\guis\ALLIES.GADGET24	1	0	ALLYx	145	35	38	20	1	0	0	0	0	1	0												0	0	0	4									
ReImagined HPI RAW\guis\ALLIES.GADGET25	1	0	ALLYx	145	59	38	20	1	0	0	0	0	1	0												0	0	0	4									
ReImagined HPI RAW\guis\ALLIES.GADGET26	1	0	ALLYx	145	82	38	20	1	0	0	0	0	1	0												0	0	0	4									
ReImagined HPI RAW\guis\ALLIES.GADGET27	1	0	ALLYx	145	104	38	20	1	0	0	0	0	1	0												0	0	0	4									
ReImagined HPI RAW\guis\ALLIES.GADGET28	1	0	ALLYx	145	127	38	20	1	0	0	0	0	1	0												0	0	0	4									
ReImagined HPI RAW\guis\ALLIES.GADGET29	1	0	ALLYx	145	150	38	20	1	0	0	0	0	1	0												0	0	0	4									
ReImagined HPI RAW\guis\ALLIES.GADGET30	1	0	ALLYx	145	173	38	20	1	0	0	0	0	1	0												0	0	0	4									
ReImagined HPI RAW\guis\ALLIES.GADGET31	1	0	ALLYx	145	196	38	20	1	0	0	0	0	1	0												0	0	0	4									
ReImagined HPI RAW\guis\ALLIES.GADGET32	1	0	ALLYx	145	219	38	20	1	0	0	0	0	1	0												0	0	0	4									
ReImagined HPI RAW\guis\ALLIES.GADGET33	1	0	TEAMICONSx	193	12	38	20	1	0	0	0	0	1	0												0	0	0	12									
ReImagined HPI RAW\guis\ALLIES.GADGET34	1	0	TEAMICONSx	193	35	38	20	1	0	0	0	0	1	0												0	0	0	12									
ReImagined HPI RAW\guis\ALLIES.GADGET35	1	0	TEAMICONSx	193	59	38	20	1	0	0	0	0	1	0												0	0	0	12									
ReImagined HPI RAW\guis\ALLIES.GADGET36	1	0	TEAMICONSx	193	82	38	20	1	0	0	0	0	1	0												0	0	0	12									
ReImagined HPI RAW\guis\ALLIES.GADGET37	1	0	TEAMICONSx	193	104	38	20	1	0	0	0	0	1	0												0	0	0	12									
ReImagined HPI RAW\guis\ALLIES.GADGET38	1	0	TEAMICONSx	193	127	38	20	1	0	0	0	0	1	0												0	0	0	12									
ReImagined HPI RAW\guis\ALLIES.GADGET39	1	0	TEAMICONSx	193	150	38	20	1	0	0	0	0	1	0												0	0	0	12									
ReImagined HPI RAW\guis\ALLIES.GADGET40	1	0	TEAMICONSx	193	173	38	20	1	0	0	0	0	1	0												0	0	0	12									
ReImagined HPI RAW\guis\ALLIES.GADGET41	1	0	TEAMICONSx	193	196	38	20	1	0	0	0	0	1	0												0	0	0	12									
ReImagined HPI RAW\guis\ALLIES.GADGET42	1	0	TEAMICONSx	193	219	38	20	1	0	0	0	0	1	0												0	0	0	12									
ReImagined HPI RAW\guis\ALLIES.GADGET43	5	0	PLAYER9	15	224	120	14	26	15	0	0	0	1	102																								
ReImagined HPI RAW\guis\ANYMSN.GADGET0	0	205	HEADER	0	0	640	480	52685	52685	52685	0	-51	-51	-51		19	-51	-51	-51																			
ReImagined HPI RAW\guis\ANYMSN.GADGET1	1	243	Start	498	364	122	46	2	15	0	0	0	1	-109											Start	0	83	0										
ReImagined HPI RAW\guis\ANYMSN.GADGET2	1	243	PrevMenu	499	418	121	44	2	15	0	0	0	1	-109											Previous Menu	0	80	0										
ReImagined HPI RAW\guis\ANYMSN.GADGET3	2	7	Campaign	24	257	258	86	1	15	0	0	0	1	-109																								
ReImagined HPI RAW\guis\ANYMSN.GADGET4	4	7	KNOB	281	257	15	85	2	4	0	101	0	1	-109																291	33	0	10					
ReImagined HPI RAW\guis\ANYMSN.GADGET5	5	243	TEXT	36	240	253	19	2	15	0	101	0	1	-109											Select Campaign													
ReImagined HPI RAW\guis\ANYMSN.GADGET6	1	6	Easy	23	430	98	31	18	15	0	0	0	1	-109											Easy	0	69	0										
ReImagined HPI RAW\guis\ANYMSN.GADGET7	1	6	Medium	134	430	94	32	18	15	0	0	0	1	-109											Medium	0	77	0										
ReImagined HPI RAW\guis\ANYMSN.GADGET8	1	6	Hard	246	430	100	32	18	15	0	0	0	1	-109											Hard	0	72	0										
ReImagined HPI RAW\guis\ANYMSN.GADGET9	1	243	SelectAnyMission	220	11	200	47	1	15	0	0	0	1	0												0	0	0										
ReImagined HPI RAW\guis\ANYMSN.GADGET10	2	19	Missions	337	257	245	86	1	15	0	0	0	1	0																								
ReImagined HPI RAW\guis\ANYMSN.GADGET11	4	19	KNOB	581	257	17	85	2	4	0	0	0	1	0																196	24	0	10					
ReImagined HPI RAW\guis\ANYMSN.GADGET12	5	243	TEXT	339	240	232	18	2	15	0	0	0	1	0											Select Mission													
ReImagined HPI RAW\guis\ANYMSN.GADGET13	1	13	Side0	30	70	110	40	18	15	0	0	0	0	0											Side0	0	0	0										
ReImagined HPI RAW\guis\ANYMSN.GADGET14	1	13	Side1	150	70	110	40	18	15	0	0	0	0	0											Side1	0	0	0										
ReImagined HPI RAW\guis\ANYMSN.GADGET15	1	13	SelectSide	250	126	140	39	2	15	0	0	0	1	0												0	0	0										
ReImagined HPI RAW\guis\ANYMSN.GADGET16	1	243	Difficulty	18	384	200	34	2	15	0	0	0	1	0												0	0	0										
ReImagined HPI RAW\guis\ANYMSN.GADGET17	1	13	Side2	270	70	110	40	18	15	0	0	0	0	0											Side2	0	0	0										
ReImagined HPI RAW\guis\ANYMSN.GADGET18	1	13	Side3	390	70	110	40	18	15	0	0	0	0	0											Side3	0	0	0										
ReImagined HPI RAW\guis\ANYMSN.GADGET19	1	13	Side4	510	70	110	40	18	15	0	0	0	0	0											Side4	0	0	0										
ReImagined HPI RAW\guis\ARMAAP1.GADGET0	0	0	HEADER	0	128	128	352	0	0	0	0	0	1	0		17	1	0	0	ARMPAN																		
ReImagined HPI RAW\guis\ARMAAP1.GADGET1	7	0	ARMFONT	0	0	0	0	0	0	0	0	0	1	0																				armbutt				
ReImagined HPI RAW\guis\ARMAAP1.GADGET2	1	0	ARMORDERS	3	4	59	19	16	15	0	0	0	1	0												0	111											
ReImagined HPI RAW\guis\ARMAAP1.GADGET3	1	0	ARMBUILD	65	4	59	19	16	15	0	0	0	1	0												0	98											
ReImagined HPI RAW\guis\ARMAAP1.GADGET4	1	1	ARMMOVE	5	247	55	31	64	15	0	0	0	1	0												0	77											
ReImagined HPI RAW\guis\ARMAAP1.GADGET5	1	1	ARMSTOP	64	247	55	31	0	15	0	0	0	1	0												0	83											
ReImagined HPI RAW\guis\ARMAAP1.GADGET6	1	1	ARMPATROL	64	282	55	31	64	15	0	0	0	1	0												0	80											
ReImagined HPI RAW\guis\ARMAAP1.GADGET7	1	77	ARMLANCE	64	91	64	64	32	15	0	0	0	1	4																								
ReImagined HPI RAW\guis\ARMAAP1.GADGET8	1	77	ARMHAWK	0	155	64	64	32	15	0	0	0	1	4																								
ReImagined HPI RAW\guis\ARMAAP1.GADGET9	1	0	IGPATCH	64	155	64	64	32	0	0	0	0	1	0														1										
ReImagined HPI RAW\guis\ARMAAP1.GADGET26	1	1	ARMATTACK	5	317	55	31	64	15	0	0	0	1	0												0	65											
ReImagined HPI RAW\guis\ARMAAP1.GADGET27	1	1	ARMDEFEND	5	282	55	31	64	15	0	0	0	1	0													113											
ReImagined HPI RAW\guis\ARMAAP1.GADGET17	1	1	ARMBLAST	64	317	55	31	64	15	0	0	0	1	0													100											
ReImagined HPI RAW\guis\ARMACA1.GADGET0	0	0	HEADER	0	128	128	352	0	0	0	0	0	1	0		17	1	0	0	ARMPAN																		
ReImagined HPI RAW\guis\ARMACA1.GADGET1	7	0	ARMBUTT	0	0	0	0	0	0	0	0	0	1	0																				armbutt				
ReImagined HPI RAW\guis\ARMACA1.GADGET2	1	1	ARMMOVE	5	247	55	31	64	15	0	0	0	1	0												0	77	0										
ReImagined HPI RAW\guis\ARMACA1.GADGET3	1	1	ARMSTOP	64	247	55	31	0	15	0	0	0	1	0												0	83	0										
ReImagined HPI RAW\guis\ARMACA1.GADGET4	1	1	ARMPATROL	64	282	55	31	64	15	0	0	0	1	0												0	80	0										
ReImagined HPI RAW\guis\ARMACA1.GADGET5	1	1	ARMATTACK	5	317	55	31	64	15	0	0	0	1	0												0	65											
ReImagined HPI RAW\guis\ARMACA1.GADGET6	1	1	ARMDEFEND	5	282	55	31	64	15	0	0	0	1	0												0	103											
ReImagined HPI RAW\guis\ARMACA1.GADGET7	1	0	ARMMOHO	64	91	64	64	32	15	0	0	0	1	4												0	0	0										
ReImagined HPI RAW\guis\ARMACA1.GADGET8	1	0	ARMBRTHA	0	155	64	64	32	15	0	0	0	1	4												0	0	0										
ReImagined HPI RAW\guis\ARMACA1.GADGET9	1	0	ARMSILO	64	155	64	64	32	15	0	0	0	1	4												0	0	0										
ReImagined HPI RAW\guis\ARMACA1.GADGET27	1	0	ARMORDERS	3	4	59	19	16	15	0	0	0	1	0												0	111	0										
ReImagined HPI RAW\guis\ARMACA1.GADGET28	1	0	ARMBUILD	65	4	59	19	16	15	0	0	0	1	0												0	98	0										
ReImagined HPI RAW\guis\ARMACA1.GADGET17	1	1	ARMBLAST	64	317	55	31	64	15	0	0	0	1	0													100											
ReImagined HPI RAW\guis\ARMACA2.GADGET0	0	0	HEADER	0	128	128	352	0	0	0	0	0	1	0		17	1	0	0	ARMPAN																		
ReImagined HPI RAW\guis\ARMACA2.GADGET1	7	0	ARMBUTT	0	0	0	0	0	0	0	0	0	1	0																				armbutt				
ReImagined HPI RAW\guis\ARMACA2.GADGET2	1	1	ARMMOVE	5	247	55	31	64	15	0	0	0	1	0												0	77	0										
ReImagined HPI RAW\guis\ARMACA2.GADGET3	1	1	ARMSTOP	64	247	55	31	0	15	0	0	0	1	0												0	83	0										
ReImagined HPI RAW\guis\ARMACA2.GADGET4	1	1	ARMPATROL	64	282	55	31	64	15	0	0	0	1	0												0	80	0										
ReImagined HPI RAW\guis\ARMACA2.GADGET5	1	1	ARMATTACK	5	317	55	31	64	15	0	0	0	1	0												0	65											
ReImagined HPI RAW\guis\ARMACA2.GADGET6	1	1	ARMDEFEND	5	282	55	31	64	15	0	0	0	1	0												0	103											
ReImagined HPI RAW\guis\ARMACA2.GADGET7	1	0	IGPATCH	64	91	64	64	32	0	0	0	0	1	0														1										
ReImagined HPI RAW\guis\ARMACA2.GADGET8	1	0	IGPATCH	0	155	64	64	32	0	0	0	0	1	0														1										
ReImagined HPI RAW\guis\ARMACA2.GADGET9	1	0	IGPATCH	64	155	64	64	32	0	0	0	0	1	0														1										
ReImagined HPI RAW\guis\ARMACA2.GADGET27	1	0	ARMORDERS	3	4	59	19	16	15	0	0	0	1	0												0	111	0										
ReImagined HPI RAW\guis\ARMACA2.GADGET28	1	0	ARMBUILD	65	4	59	19	16	15	0	0	0	1	0												0	98	0										
ReImagined HPI RAW\guis\ARMACA2.GADGET17	1	1	ARMBLAST	64	317	55	31	64	15	0	0	0	1	0													100											
ReImagined HPI RAW\guis\ARMACK1.GADGET0	0	0	HEADER	0	128	128	352	0	0	0	0	0	1	0		17	1	0	0	ARMPAN																		
ReImagined HPI RAW\guis\ARMACK1.GADGET1	7	0	ARMBUTT	0	0	0	0	0	0	0	0	0	1	0																				armbutt				
ReImagined HPI RAW\guis\ARMACK1.GADGET2	1	1	ARMMOVE	5	247	55	31	64	15	0	0	0	1	0												0	77	0										
ReImagined HPI RAW\guis\ARMACK1.GADGET3	1	1	ARMSTOP	64	247	55	31	0	15	0	0	0	1	0												0	83	0										
ReImagined HPI RAW\guis\ARMACK1.GADGET4	1	1	ARMPATROL	64	282	55	31	64	15	0	0	0	1	0												0	80	0										
ReImagined HPI RAW\guis\ARMACK1.GADGET5	1	1	ARMATTACK	5	317	55	31	64	15	0	0	0	1	0												0	65											
ReImagined HPI RAW\guis\ARMACK1.GADGET6	1	1	ARMDEFEND	5	282	55	31	64	15	0	0	0	1	0												0	103											
ReImagined HPI RAW\guis\ARMACK1.GADGET7	1	0	ARMMOHO	64	91	64	64	32	15	0	0	0	1	4												0	0	0										
ReImagined HPI RAW\guis\ARMACK1.GADGET8	1	0	ARMBRTHA	0	155	64	64	32	15	0	0	0	1	4												0	0	0										
ReImagined HPI RAW\guis\ARMACK1.GADGET9	1	0	ARMSILO	64	155	64	64	32	15	0	0	0	1	4												0	0	0										
ReImagined HPI RAW\guis\ARMACK1.GADGET27	1	0	ARMORDERS	3	4	59	19	16	15	0	0	0	1	0												0	111	0										
ReImagined HPI RAW\guis\ARMACK1.GADGET28	1	0	ARMBUILD	65	4	59	19	16	15	0	0	0	1	0												0	98	0										
ReImagined HPI RAW\guis\ARMACK1.GADGET17	1	1	ARMBLAST	64	317	55	31	64	15	0	0	0	1	0													100											
ReImagined HPI RAW\guis\ARMACK2.GADGET0	0	0	HEADER	0	128	128	352	0	0	0	0	0	1	0		17	1	0	0	ARMPAN																		
ReImagined HPI RAW\guis\ARMACK2.GADGET1	7	0	ARMBUTT	0	0	0	0	0	0	0	0	0	1	0																				armbutt				
ReImagined HPI RAW\guis\ARMACK2.GADGET2	1	1	ARMMOVE	5	247	55	31	64	15	0	0	0	1	0												0	77	0										
ReImagined HPI RAW\guis\ARMACK2.GADGET3	1	1	ARMSTOP	64	247	55	31	0	15	0	0	0	1	0												0	83	0										
ReImagined HPI RAW\guis\ARMACK2.GADGET4	1	1	ARMPATROL	64	282	55	31	64	15	0	0	0	1	0												0	80	0										
ReImagined HPI RAW\guis\ARMACK2.GADGET5	1	1	ARMATTACK	5	317	55	31	64	15	0	0	0	1	0												0	65											
ReImagined HPI RAW\guis\ARMACK2.GADGET6	1	1	ARMDEFEND	5	282	55	31	64	15	0	0	0	1	0												0	103											
ReImagined HPI RAW\guis\ARMACK2.GADGET7	1	0	IGPATCH	64	91	64	64	32	0	0	0	0	1	0														1										
ReImagined HPI RAW\guis\ARMACK2.GADGET8	1	0	IGPATCH	0	155	64	64	32	0	0	0	0	1	0														1										
ReImagined HPI RAW\guis\ARMACK2.GADGET9	1	0	IGPATCH	64	155	64	64	32	0	0	0	0	1	0														1										
ReImagined HPI RAW\guis\ARMACK2.GADGET27	1	0	ARMORDERS	3	4	59	19	16	15	0	0	0	1	0												0	111	0										
ReImagined HPI RAW\guis\ARMACK2.GADGET28	1	0	ARMBUILD	65	4	59	19	16	15	0	0	0	1	0												0	98	0										
ReImagined HPI RAW\guis\ARMACK2.GADGET17	1	1	ARMBLAST	64	317	55	31	64	15	0	0	0	1	0													100											
ReImagined HPI RAW\guis\Armacsub1.GADGET0	0	0	HEADER	0	128	128	352	0	0	0	0	0	1	0		17	1	0	0	ARMPAN																		
ReImagined HPI RAW\guis\Armacsub1.GADGET1	7	0	ARMBUTT	0	0	0	0	0	0	0	0	0	1	0																				armbutt				
ReImagined HPI RAW\guis\Armacsub1.GADGET2	1	0	ARMORDERS	3	4	59	19	16	15	0	0	0	1	0												0	111	0										
ReImagined HPI RAW\guis\Armacsub1.GADGET3	1	0	ARMBUILD	65	4	59	19	16	15	0	0	0	1	0												0	98	0										
ReImagined HPI RAW\guis\Armacsub1.GADGET4	1	1	ARMMOVE	5	247	55	31	64	15	0	0	0	1	0												0	77	0										
ReImagined HPI RAW\guis\Armacsub1.GADGET5	1	1	ARMSTOP	64	247	55	31	0	15	0	0	0	1	0												0	83	0										
ReImagined HPI RAW\guis\Armacsub1.GADGET6	1	1	ARMPATROL	64	282	55	31	64	15	0	0	0	1	0												0	80	0										
ReImagined HPI RAW\guis\Armacsub1.GADGET7	1	77	ARMATL	64	91	64	64	32	15	0	0	0	1	4												0	0											
ReImagined HPI RAW\guis\Armacsub1.GADGET8	1	77	ARMPLAT	0	155	64	64	32	15	0	0	0	1	4												0	0											
ReImagined HPI RAW\guis\Armacsub1.GADGET9	1	0	IGPATCH	64	155	64	64	32	0	0	0	0	1	0														1										
ReImagined HPI RAW\guis\Armacsub1.GADGET26	1	1	ARMATTACK	5	317	55	31	64	15	0	0	0	1	0												0	65											
ReImagined HPI RAW\guis\Armacsub1.GADGET27	1	1	ARMDEFEND	5	282	55	31	64	15	0	0	0	1	0												0	103											
ReImagined HPI RAW\guis\Armacsub1.GADGET17	1	1	ARMBLAST	64	317	55	31	64	15	0	0	0	1	0													100											
ReImagined HPI RAW\guis\ARMACV1.GADGET0	0	0	HEADER	0	128	128	352	0	0	0	0	0	1	0		17	1	0	0	ARMPAN																		
ReImagined HPI RAW\guis\ARMACV1.GADGET1	7	0	ARMBUTT	0	0	0	0	0	0	0	0	0	1	0																				armbutt				
ReImagined HPI RAW\guis\ARMACV1.GADGET2	1	1	ARMMOVE	5	247	55	31	64	15	0	0	0	1	0												0	77	0										
ReImagined HPI RAW\guis\ARMACV1.GADGET3	1	1	ARMSTOP	64	247	55	31	0	15	0	0	0	1	0												0	83	0										
ReImagined HPI RAW\guis\ARMACV1.GADGET4	1	1	ARMPATROL	64	282	55	31	64	15	0	0	0	1	0												0	80	0										
ReImagined HPI RAW\guis\ARMACV1.GADGET5	1	1	ARMATTACK	5	317	55	31	64	15	0	0	0	1	0												0	65											
ReImagined HPI RAW\guis\ARMACV1.GADGET6	1	1	ARMDEFEND	5	282	55	31	64	15	0	0	0	1	0												0	103											
ReImagined HPI RAW\guis\ARMACV1.GADGET7	1	0	ARMMOHO	64	91	64	64	32	15	0	0	0	1	4												0	0	0										
ReImagined HPI RAW\guis\ARMACV1.GADGET8	1	0	ARMBRTHA	0	155	64	64	32	15	0	0	0	1	4												0	0	0										
ReImagined HPI RAW\guis\ARMACV1.GADGET9	1	0	ARMSILO	64	155	64	64	32	15	0	0	0	1	4												0	0	0										
ReImagined HPI RAW\guis\ARMACV1.GADGET27	1	0	ARMORDERS	3	4	59	19	16	15	0	0	0	1	0												0	111	0										
ReImagined HPI RAW\guis\ARMACV1.GADGET28	1	0	ARMBUILD	65	4	59	19	16	15	0	0	0	1	0												0	98	0										
ReImagined HPI RAW\guis\ARMACV1.GADGET17	1	1	ARMBLAST	64	317	55	31	64	15	0	0	0	1	0													100											
ReImagined HPI RAW\guis\ARMACV2.GADGET0	0	0	HEADER	0	128	128	352	0	0	0	0	0	1	0		17	1	0	0	ARMPAN																		
ReImagined HPI RAW\guis\ARMACV2.GADGET1	7	0	ARMBUTT	0	0	0	0	0	0	0	0	0	1	0																				armbutt				
ReImagined HPI RAW\guis\ARMACV2.GADGET2	1	1	ARMMOVE	5	247	55	31	64	15	0	0	0	1	0												0	77	0										
ReImagined HPI RAW\guis\ARMACV2.GADGET3	1	1	ARMSTOP	64	247	55	31	0	15	0	0	0	1	0												0	83	0										
ReImagined HPI RAW\guis\ARMACV2.GADGET4	1	1	ARMPATROL	64	282	55	31	64	15	0	0	0	1	0												0	80	0										
ReImagined HPI RAW\guis\ARMACV2.GADGET5	1	1	ARMATTACK	5	317	55	31	64	15	0	0	0	1	0												0	65											
ReImagined HPI RAW\guis\ARMACV2.GADGET6	1	1	ARMDEFEND	5	282	55	31	64	15	0	0	0	1	0												0	103											
ReImagined HPI RAW\guis\ARMACV2.GADGET7	1	0	IGPATCH	64	91	64	64	32	0	0	0	0	1	0														1										
ReImagined HPI RAW\guis\ARMACV2.GADGET8	1	0	IGPATCH	0	155	64	64	32	0	0	0	0	1	0														1										
ReImagined HPI RAW\guis\ARMACV2.GADGET9	1	0	IGPATCH	64	155	64	64	32	0	0	0	0	1	0														1										
ReImagined HPI RAW\guis\ARMACV2.GADGET27	1	0	ARMORDERS	3	4	59	19	16	15	0	0	0	1	0												0	111	0										
ReImagined HPI RAW\guis\ARMACV2.GADGET28	1	0	ARMBUILD	65	4	59	19	16	15	0	0	0	1	0												0	98	0										
ReImagined HPI RAW\guis\ARMACV2.GADGET17	1	1	ARMBLAST	64	317	55	31	64	15	0	0	0	1	0													100											
ReImagined HPI RAW\guis\ARMALAB1.GADGET0	0	0	HEADER	0	128	128	352	0	0	0	0	0	1	0		17	1	0	0	ARMPAN																		
ReImagined HPI RAW\guis\ARMALAB1.GADGET1	7	0	ARMFONT	0	0	0	0	0	0	0	0	0	1	0																				armbutt				
ReImagined HPI RAW\guis\ARMALAB1.GADGET2	1	0	ARMORDERS	3	4	59	19	16	15	0	0	0	1	0												0	111											
ReImagined HPI RAW\guis\ARMALAB1.GADGET3	1	0	ARMBUILD	65	4	59	19	16	15	0	0	0	1	0												0	98	0										
ReImagined HPI RAW\guis\ARMALAB1.GADGET4	1	1	ARMMOVE	5	247	55	31	64	15	0	0	0	1	0												0	77											
ReImagined HPI RAW\guis\ARMALAB1.GADGET5	1	1	ARMSTOP	64	247	55	31	0	15	0	0	0	1	0												0	83											
ReImagined HPI RAW\guis\ARMALAB1.GADGET6	1	1	ARMPATROL	64	282	55	31	64	15	0	0	0	1	0												0	80											
ReImagined HPI RAW\guis\ARMALAB1.GADGET7	1	77	ARMVADER	64	91	64	64	32	15	0	0	0	1	4												0	0											
ReImagined HPI RAW\guis\ARMALAB1.GADGET8	1	77	ARMASER	0	155	64	64	32	15	0	0	0	1	4												0	0											
ReImagined HPI RAW\guis\ARMALAB1.GADGET9	1	77	ARMFAST	64	155	64	64	32	15	0	0	0	1	4												0	0											
ReImagined HPI RAW\guis\ARMALAB1.GADGET26	1	1	ARMATTACK	5	317	55	31	64	15	0	0	0	1	0												0	65											
ReImagined HPI RAW\guis\ARMALAB1.GADGET27	1	1	ARMDEFEND	5	282	55	31	64	15	0	0	0	1	0												0	103											
ReImagined HPI RAW\guis\ARMALAB1.GADGET17	1	1	ARMBLAST	64	317	55	31	64	15	0	0	0	1	0													100											
ReImagined HPI RAW\guis\ARMAMD1.GADGET0	0	0	HEADER	0	128	128	352	0	0	0	0	0	1	0		17	1	0	0	ARMPAN																		
ReImagined HPI RAW\guis\ARMAMD1.GADGET1	7	0	ARMBUTT	0	0	0	0	0	0	0	0	0	1	0																				armbutt				
ReImagined HPI RAW\guis\ARMAMD1.GADGET2	1	1	ARMMOVE	5	247	55	31	64	15	0	0	0	1	0													109											
ReImagined HPI RAW\guis\ARMAMD1.GADGET3	1	1	ARMSTOP	64	247	55	31	0	15	0	0	0	1	0													115											
ReImagined HPI RAW\guis\ARMAMD1.GADGET4	1	1	ARMPATROL	64	282	55	31	64	15	0	0	0	1	0													112											
ReImagined HPI RAW\guis\ARMAMD1.GADGET5	1	1	ARMATTACK	5	317	55	31	64	15	0	0	0	1	0													97											
ReImagined HPI RAW\guis\ARMAMD1.GADGET6	1	1	ARMDEFEND	5	282	55	31	64	15	0	0	0	1	0													103											
ReImagined HPI RAW\guis\ARMAMD1.GADGET7	1	0	IGPATCH	64	91	64	64	32	0	0	0	0	1	0														1										
ReImagined HPI RAW\guis\ARMAMD1.GADGET8	1	0	IGPATCH	0	155	64	64	32	0	0	0	0	1	0														1										
ReImagined HPI RAW\guis\ARMAMD1.GADGET9	1	0	IGPATCH	64	155	64	64	32	0	0	0	0	1	0														1										
ReImagined HPI RAW\guis\ARMAMD1.GADGET27	1	0	ARMORDERS	3	4	59	19	16	15	0	0	0	1	0													111											
ReImagined HPI RAW\guis\ARMAMD1.GADGET28	1	0	ARMBUILD	65	4	59	19	16	15	0	0	0	1	0													98											
ReImagined HPI RAW\guis\ARMAMD1.GADGET17	1	1	ARMBLAST	64	317	55	31	64	15	0	0	0	1	0													100											
ReImagined HPI RAW\guis\ARMAP1.GADGET0	0	0	HEADER	0	128	128	352	0	0	0	0	0	1	0		17	1	0	0	ARMPAN																		
ReImagined HPI RAW\guis\ARMAP1.GADGET1	7	0	ARMFONT	0	0	0	0	0	0	0	0	0	1	0																				armbutt				
ReImagined HPI RAW\guis\ARMAP1.GADGET2	1	0	ARMORDERS	3	4	59	19	16	15	0	0	0	1	0												0	111											
ReImagined HPI RAW\guis\ARMAP1.GADGET3	1	0	ARMBUILD	65	4	59	19	16	15	0	0	0	1	0												0	98	0										
ReImagined HPI RAW\guis\ARMAP1.GADGET4	1	1	ARMMOVE	5	247	55	31	64	15	0	0	0	1	0												0	77											
