	world	description	category	animating	footprintx	footprintz	height	filename	seqname	seqnameshad	animtrans	shadtrans	hitdensity	metal	damage	indestructible	seqnamereclamate	energy	seqnameburn	seqnameburnshad	featureburnt	burnmin	burnmax	sparktime	spreadchance	burnweapon	seqnamedie	featuredead	flamable	reclaimable	featurereclamamate	reproduce	reproducearea	blocking	geothermal	object	autoreclaimable	nodrawundergray	featurereclamate	nodisplayinfo	permanent	energy 
ReImagined HPI RAW\features\Acid\AcidVents.AcidVent01	acid	Thermal Vent	steamvents	1	1	1	0	acidvents	acidvent01				0			1																			1							
ReImagined HPI RAW\features\Acid\AcidVents.AcidVent02	acid	Thermal Vent	steamvents	1	1	1	0	acidvents	acidvent02				0			1																			1							
ReImagined HPI RAW\features\Acid\AcidVents.AcidVent03	acid	Thermal Vent	steamvents	1	1	1	0	acidvents	acidvent03				0			1																			1							
ReImagined HPI RAW\features\all worlds\Armfdrag_teeth.FloatingTeeth	allworld	Floating Dragon's Teeth	dragonteeth		2	2	100						100	16	3800															1				1		armfdrag	0	1				
ReImagined HPI RAW\features\all worlds\Armfort_fort.Fortification	allworld	Fortification Wall	dragonteeth		2	2	55						97	23	1600		tree1reclamate											RockTeeth		1				1		armfort	0		smudge01			
ReImagined HPI RAW\features\all worlds\Corfdrag_teeth.FloatingTeeth_Core	allworld	Floating Dragon's Teeth	dragonteeth		2	2	100						100	14	3500															1				1		corfdrag	0	1				
ReImagined HPI RAW\features\all worlds\Corfort_fort.Fortification_Core	allworld	Fortification Wall	dragonteeth		2	2	55						95	21	1500		tree1reclamate											RockTeeth		1				1		corfort	0		smudge01			
ReImagined HPI RAW\features\all worlds\DragonsTeeth.DragonsTeeth	allworld	DragonsTeeth	dragonteeth		2	2	20						100	8	4000		tree1reclamate											RockTeeth		1				1		armdrag	0		smudge01			
ReImagined HPI RAW\features\all worlds\DragonsTeeth.DragonsTeeth_Core	allworld	DragonsTeeth	dragonteeth		2	2	20						100	8	4000		tree1reclamate											RockTeeth		1				1		cordrag	0		smudge01			
ReImagined HPI RAW\features\all worlds\DragonsTeeth.RockTeeth	greenworld	Rubble	rocks	0	2	2	20	rockshurt2	rock4b	rock4bshad	0	1	100	6	2000		rock04brec											scar09		1				1					rock04recscar			
ReImagined HPI RAW\features\all worlds\scars.Scar01	allworld	Damaged Terrain	scars	0	5	5	0	scars	scar01		1		0															Scar01	0	0		0	6	0					smudge01			
ReImagined HPI RAW\features\all worlds\scars.Scar02	allworld	Damaged Terrain	scars	0	4	4	0	scars	scar02		1		0															Scar02	0	0		0	6	0					smudge01			
ReImagined HPI RAW\features\all worlds\scars.Scar03	allworld	Damaged Terrain	scars	0	3	3	0	scars	scar03		1		0															Scar03	0	0		0	6	0					smudge01			
ReImagined HPI RAW\features\all worlds\scars.Scar04	allworld	Damaged Terrain	scars	0	3	3	0	scars	scar04		1		0															Scar04	0	0		0	6	0					smudge01			
ReImagined HPI RAW\features\all worlds\scars.Scar05	allworld	Damaged Terrain	scars	0	2	2	0	scars	scar05		1		0															Scar05	0	0		0	6	0					smudge01			
ReImagined HPI RAW\features\all worlds\scars.Scar06	allworld	Damaged Terrain	scars	0	3	3	0	scars	scar06		1		0															Scar06	0	0		0	6	0					smudge01			
ReImagined HPI RAW\features\all worlds\scars.Scar07	allworld	Damaged Terrain	scars	0	2	2	0	scars	scar07		1		0															Scar07	0	0		0	6	0					smudge01			
ReImagined HPI RAW\features\all worlds\scars.Scar08	allworld	Damaged Terrain	scars	0	2	2	0	scars	scar08		1		0															Scar08	0	0		0	6	0					smudge01			
ReImagined HPI RAW\features\all worlds\scars.Scar09	allworld	Damaged Terrain	scars	0	1	1	0	scars	scar09		1		0															Scar09	0	0		0	6	0					smudge01			
ReImagined HPI RAW\features\all worlds\scars.Scar10	allworld	Damaged Terrain	scars	0	1	1	0	scars	scar10		1		0															Scar10	0	0		0	6	0					smudge01			
ReImagined HPI RAW\features\archi\FOLIAGE.ArchiFoliage01	archipelago	Foliage	foliage	0	1	1	0	archifoli	foliage01		0	1	10				frond01rec	75	frond01flame		frond01crisp	5	15	5	90	ShrubBurn	frondboom	frond01scar	1	1		0	6	0					frond01scar			
ReImagined HPI RAW\features\archi\FOLIAGE.ArchiFoliage02	archipelago	Foliage	foliage	0	1	1	0	archifoli	foliage02		0	1	10				frond02rec	75	frond02flame		frond02crisp	5	15	5	90	ShrubBurn	frondboom	frond02scar	1	1		0	6	0					frond02scar			
ReImagined HPI RAW\features\archi\FOLIAGE.ArchiFoliage03	archipelago	Foliage	foliage	0	1	1	0	archifoli	foliage03		0	1	10				frond03rec	75	frond03flame		frond03crisp	5	15	5	90	ShrubBurn	frondboom	frond03scar	1	1		0	6	0					frond03scar			
ReImagined HPI RAW\features\archi\FOLIAGE.ArchiFoliage04	archipelago	Foliage	foliage	0	1	1	0	archifoli	foliage04		0	1	10				frond04rec	75	frond04flame		frond04crisp	5	15	5	90	ShrubBurn	frondboom	frond04scar	1	1		0	6	0					frond04scar			
ReImagined HPI RAW\features\archi\FOLIAGE.ArchiFoliage05	archipelago	Foliage	foliage	0	1	1	0	archifoli	foliage05		0	1	10				frond05rec	75	frond05flame		frond05crisp	5	15	5	90	ShrubBurn	frondboom	frond05scar	1	1		0	6	0					frond05scar			
ReImagined HPI RAW\features\archi\FOLIAGE.ArchiFoliage06	archipelago	Foliage	foliage	0	1	1	0	archifoli	foliage06		0	1	10				frond06rec	75	frond06flame		frond06crisp	5	15	5	90	ShrubBurn	frondboom	frond06scar	1	1		0	6	0					frond06scar			
ReImagined HPI RAW\features\archi\FOLIAGE.ArchiFoliage04x	archipelago	Foliage	foliage	0	1	1	0	archifoli	folixtra04		0	1	10				folixtra04rec	75	folixtra04flame		frond04crisp	5	15	5	90	ShrubBurn	frondboom	frond04scar	1	1		0	6	0					frond04scar			
ReImagined HPI RAW\features\archi\FOLIAGE.ArchiFoliage05x	archipelago	Foliage	foliage	0	1	1	0	archifoli	folixtra05		0	1	10				folixtra05rec	75	folixtra05flame		frond05crisp	5	15	5	90	ShrubBurn	frondboom	frond05scar	1	1		0	6	0					frond05scar			
ReImagined HPI RAW\features\archi\METAL.ArchMetal1	archipelago	Metal	metal	0	3	3	0	ArchiMetal	archmetal1		0	1	5	187	32009	1																										
ReImagined HPI RAW\features\archi\METAL.ArchMetal2	archipelago	Metal	metal	0	3	3	0	ArchiMetal	archmetal2		0	1	5	116	32009	1																										
ReImagined HPI RAW\features\archi\METAL.ArchMetal3	archipelago	Metal	metal	0	3	3	0	ArchiMetal	archmetal3		0	1	5	223	32009	1																										
ReImagined HPI RAW\features\archi\METAL.ArchMetalB1	archipelago	Metal	metal	0	3	3	0	ArchiMetal	archmetalb01		0	1	5	127	32009	1																										
ReImagined HPI RAW\features\archi\METAL.ArchMetalB2	archipelago	Metal	metal	0	3	3	0	ArchiMetal	archmetalb02		0	1	5	86	32009	1																										
ReImagined HPI RAW\features\archi\METAL.ArchMetalB3	archipelago	Metal	metal	0	3	3	0	ArchiMetal	archmetalb03		0	1	5	223	32009	1																										
ReImagined HPI RAW\features\archi\METAL.ArchMetalC1	archipelago	Metal	metal	0	3	3	0	ArchiMetal	archmetalc01		0	1	5	127	32009	1																										
ReImagined HPI RAW\features\archi\METAL.ArchMetalC2	archipelago	Metal	metal	0	3	3	0	ArchiMetal	archmetalc02		0	1	5	86	32009	1																										
ReImagined HPI RAW\features\archi\METAL.ArchMetalC3	archipelago	Metal	metal	0	3	3	0	ArchiMetal	archmetalc03		0	1	5	223	32009	1																										
ReImagined HPI RAW\features\archi\TREES.ArchiTree01	archipelago	Tree	trees	0	1	1	46	architrees	palm01	palm01shad	0	1	10				palm01rec	250	palm01flame		architree01crisp	5	15	5	90	TreeBurn	palmboom	smudge02	1	1		0	6	1					smudge03			
ReImagined HPI RAW\features\archi\TREES.ArchiTree01crisp	archipelago	Burnt Tree	trees	0	1	1	46	architrees	palm01crisp	palm01crispshad	0	1	10				palm01crisprec	50				5	15	5	90			smudge04	0	1		0	6	1					smudge01			
ReImagined HPI RAW\features\archi\TREES.ArchiTree02	archipelago	Tree	trees	0	1	1	54	architrees	palm02	palm02shad	0	1	10				palm02rec	250	palm02flames		architree02crisp	5	15	5	90	TreeBurn	palmboom	smudge01	1	1		0	6	1					smudge04			
ReImagined HPI RAW\features\archi\TREES.ArchiTree02crisp	archipelago	Burnt Tree	trees	0	1	1	54	architrees	palm02crisp	palm02crispshad	0	1	10				palm02crisprec	50				5	15	5	90			smudge02	0	1		0	6	1					smudge01			
ReImagined HPI RAW\features\archi\TREES.ArchiTree03	archipelago	Tree	trees	0	1	1	55	architrees	palm03	palm03shad	0	1	10				palm03rec	250	palm03flame		architree03crisp	5	15	5	90	TreeBurn	palmboom	smudge03	1	1		0	6	1					smudge04			
ReImagined HPI RAW\features\archi\TREES.ArchiTree03crisp	archipelago	Burnt Tree	trees	0	1	1	55	architrees	palm03crisp	palm03crispshad	0	1	10				palm03crisprec	50				5	15	5	90			smudge01	0	1		0	6	1					smudge04			
ReImagined HPI RAW\features\archi\TREES.ArchiTree04	archipelago	Tree	trees	0	1	1	54	architrees	palm04	palm04shad	0	1	10				palm04rec	250	palm04flame		architree04crisp	5	15	5	90	TreeBurn	palmboom	smudge02	1	1		0	6	1					smudge01			
ReImagined HPI RAW\features\archi\TREES.ArchiTree04crisp	archipelago	Burnt Tree	trees	0	1	1	54	architrees	palm04crisp	palm04crispshad	0	1	10				palm04crisprec	50				5	15	5	90			smudge01	0	1		0	6	1					smudge03			
ReImagined HPI RAW\features\archi\TREES.ArchiTree05	archipelago	Tree	trees	0	1	1	56	architrees	palm05	palm05shad	0	1	10				palm05rec	250	palm05flame		architree05crisp	5	15	5	90	TreeBurn	palmboom	smudge04	1	1		0	6	1					smudge04			
ReImagined HPI RAW\features\archi\TREES.ArchiTree05crisp	archipelago	Burnt Tree	trees	0	1	1	56	architrees	palm05crisp	palm05crispshad	0	1	10				palm05crisprec	50				5	15	5	90			smudge02	0	1		0	6	1					smudge01			
ReImagined HPI RAW\features\archi\TREES.ArchiTree06	archipelago	Tree	trees	0	1	1	66	architrees	palm06	palm06shad	0	1	10				palm06rec	250	palm06flame		architree06crisp	5	15	5	90	TreeBurn	palmboom	smudge01	1	1		0	6	1					smudge01			
ReImagined HPI RAW\features\archi\TREES.ArchiTree06crisp	archipelago	Burnt Tree	trees	0	1	1	66	architrees	palm06crisp	palm06crispshad	0	1	10				palm06crisprec	50				5	15	5	90			smudge03	0	1		0	6	1					smudge04			
ReImagined HPI RAW\features\archi\TREES2.Palm01	archipelago	Tree	trees	0	1	1	46	archipelago	palm01	palm01shad	0	1	10				palm01rec	250	palm01flame		palm01crisp	5	15	5	90	TreeBurn	palmboom	smudge02	1	1		0	6	1					smudge02			
ReImagined HPI RAW\features\archi\TREES2.Palm01crisp	archipelago	Burnt Tree	trees	0	1	1	46	archipelago	palm01crisp	palm01crispshad	0	1	10				palm01crisprec	50				5	15	5	90			smudge04	0	1		0	6	1					smudge04			
ReImagined HPI RAW\features\archi\TREES2.Palm02	archipelago	Tree	trees	0	1	1	54	archipelago	palm02	palm02shad	0	1	10				palm02rec	250	palm02flames		palm02crisp	5	15	5	90	TreeBurn	palmboom	smudge03	1	1		0	6	1					smudge02			
ReImagined HPI RAW\features\archi\TREES2.Palm02crisp	archipelago	Burnt Tree	trees	0	1	1	54	archipelago	palm02crisp	palm02crispshad	0	1	10				palm02crisprec	50				5	15	5	90			smudge04	0	1		0	6	1					smudge04			
ReImagined HPI RAW\features\archi\TREES2.Palm03	archipelago	Tree	trees	0	1	1	55	archipelago	palm03	palm03shad	0	1	10				palm03rec	250	palm03flame		palm03crisp	5	15	5	90	TreeBurn	palmboom	smudge02	1	1		0	6	1					smudge03			
ReImagined HPI RAW\features\archi\TREES2.Palm03crisp	archipelago	Burnt Tree	trees	0	1	1	55	archipelago	palm03crisp	palm03crispshad	0	1	10				palm03crisprec	50				5	15	5	90			smudge04	0	1		0	6	1					smudge04			
ReImagined HPI RAW\features\archi\TREES2.Palm04	archipelago	Tree	trees	0	1	1	54	archipalms	palm04	palm04shad	0	1	10				palm04rec	250	palm04flame		palm04crisp	5	15	5	90	TreeBurn	palmboom	smudge02	1	1		0	6	1					smudge02			
ReImagined HPI RAW\features\archi\TREES2.Palm04crisp	archipelago	Burnt Tree	trees	0	1	1	54	archipalms	palm04crisp	palm04crispshad	0	1	10				palm04crisprec	50				5	15	5	90			smudge03	0	1		0	6	1					smudge04			
ReImagined HPI RAW\features\archi\TREES2.Palm05	archipelago	Tree	trees	0	1	1	56	archipalms	palm05	palm05shad	0	1	10				palm05rec	250	palm05flame		palm05crisp	5	15	5	90	TreeBurn	palmboom	smudge04	1	1		0	6	1					smudge02			
ReImagined HPI RAW\features\archi\TREES2.Palm05crisp	archipelago	Burnt Tree	trees	0	1	1	56	archipalms	palm05crisp	palm05crispshad	0	1	10				palm05crisprec	50				5	15	5	90			smudge02	0	1		0	6	1					smudge03			
ReImagined HPI RAW\features\archi\TREES2.Palm06	archipelago	Tree	trees	0	1	1	66	archipalms	palm06	palm06shad	0	1	10				palm06rec	250	palm06flame		palm06crisp	5	15	5	90	TreeBurn	palmboom	smudge04	1	1		0	6	1					smudge01			
ReImagined HPI RAW\features\archi\TREES2.Palm06crisp	archipelago	Burnt Tree	trees	0	1	1	66	archipalms	palm06crisp	palm06crispshad	0	1	10				palm06crisprec	50				5	15	5	90			smudge02	0	1		0	6	1					smudge03			
ReImagined HPI RAW\features\archi\TREES2.Frond01	archipelago	Foliage	foliage	0	1	1	0	archipelago	frond01		0	1	10				frond01rec	75	frond01flame		frond01crisp	5	15	5	90	TreeBurn	frondboom	frond01scar	1	1		0	6	0					frond01scar			
ReImagined HPI RAW\features\archi\TREES2.Frond02	archipelago	Foliage	foliage	0	1	1	0	archipelago	frond02		0	1	10				frond02rec	75	frond02flame		frond02crisp	5	15	5	90	TreeBurn	frondboom	frond02scar	1	1		0	6	0					frond02scar			
ReImagined HPI RAW\features\archi\TREES2.Frond03	archipelago	Foliage	foliage	0	1	1	0	archipelago	frond03		0	1	10				frond03rec	75	frond03flame		frond03crisp	5	15	5	90	TreeBurn	frondboom	frond03scar	1	1		0	6	0					frond03scar			
ReImagined HPI RAW\features\archi\TREES2.Frond04	archipelago	Foliage	foliage	0	1	1	0	archifronds	frond04		0	1	10				frond04rec	75	frond04flame		frond04crisp	5	15	5	90	TreeBurn	frondboom	frond04scar	1	1		0	6	0					frond04scar			
ReImagined HPI RAW\features\archi\TREES2.Frond05	archipelago	Foliage	foliage	0	1	1	0	archifronds	frond05		0	1	10				frond05rec	75	frond05flame		frond05crisp	5	15	5	90	TreeBurn	frondboom	frond05scar	1	1		0	6	0					frond05scar			
ReImagined HPI RAW\features\archi\TREES2.Frond06	archipelago	Foliage	foliage	0	1	1	0	archifronds	frond06		0	1	10				frond06rec	75	frond06flame		frond06crisp	5	15	5	90	TreeBurn	frondboom	frond06scar	1	1		0	6	0					frond06scar			
ReImagined HPI RAW\features\archi\TREES2.Frond07	archipelago	Foliage	foliage	0	1	1	0	archifronds	frond07		0	1	10				frond07rec	75	frond07flame		frond07crisp	5	15	5	90	TreeBurn	frondboom	frond07scar	1	1		0	6	0					frond07scar			
ReImagined HPI RAW\features\archi\TREES2.Frond01crisp	archipelago	Burnt Foliage	foliage	0	1	1	0	archipelago	frond01crisp		0	1	10				frond01crisprec	25				5	15	5	90			frond01scar	0	1		0	6	0					frond01scar			
ReImagined HPI RAW\features\archi\TREES2.Frond02crisp	archipelago	Burnt Foliage	foliage	0	1	1	0	archipelago	frond02crisp		0	1	10				frond02crisprec	25				5	15	5	90			frond02scar	0	1		0	6	0					frond02scar			
ReImagined HPI RAW\features\archi\TREES2.Frond03crisp	archipelago	Burnt Foliage	foliage	0	1	1	0	archipelago	frond03crisp		0	1	10				frond03crisprec	25				5	15	5	90			frond03scar	0	1		0	6	0					frond03scar			
ReImagined HPI RAW\features\archi\TREES2.Frond04crisp	archipelago	Burnt Foliage	foliage	0	1	1	0	archifronds	frond04crisp		0	1	10				frond04crisprec	25				5	15	5	90			frond04scar	0	1		0	6	0					frond04scar			
ReImagined HPI RAW\features\archi\TREES2.Frond05crisp	archipelago	Burnt Foliage	foliage	0	1	1	0	archifronds	frond05crisp		0	1	10				frond05crisprec	25				5	15	5	90			frond05scar	0	1		0	6	0					frond05scar			
ReImagined HPI RAW\features\archi\TREES2.Frond06crisp	archipelago	Burnt Foliage	foliage	0	1	1	0	archifronds	frond06crisp		0	1	10				frond06crisprec	25				5	15	5	90			frond06scar	0	1		0	6	0					frond06scar			
ReImagined HPI RAW\features\archi\TREES2.Frond07crisp	archipelago	Burnt Foliage	foliage	0	1	1	0	archifronds	frond07crisp		0	1	10				frond07crisprec	25				5	15	5	90			frond07scar	0	1		0	6	0					frond07scar			
ReImagined HPI RAW\features\archi\TREES2.Frond01Scar	archipelago	Damaged Terrain	scars	0	1	1	0	archifronds	frond01crisp		1		0															frond01scar	0	0		0	6	0					frond01scar			
ReImagined HPI RAW\features\archi\TREES2.Frond02Scar	archipelago	Damaged Terrain	scars	0	1	1	0	archifronds	frond02crisp		1		0															frond02scar	0	0		0	6	0					frond02scar			
ReImagined HPI RAW\features\archi\TREES2.Frond03Scar	archipelago	Damaged Terrain	scars	0	1	1	0	archifronds	frond03crisp		1		0															frond03scar	0	0		0	6	0					frond03scar			
ReImagined HPI RAW\features\archi\TREES2.Frond04Scar	archipelago	Damaged Terrain	scars	0	1	1	0	archifronds	frond04crisp		1		0															frond04scar	0	0		0	6	0					frond04scar			
ReImagined HPI RAW\features\archi\TREES2.Frond05Scar	archipelago	Damaged Terrain	scars	0	1	1	0	archifronds	frond05crisp		1		0															frond05scar	0	0		0	6	0					frond05scar			
ReImagined HPI RAW\features\archi\TREES2.Frond06Scar	archipelago	Damaged Terrain	scars	0	1	1	0	archifronds	frond06crisp		1		0															frond06scar	0	0		0	6	0					frond06scar			
ReImagined HPI RAW\features\archi\TREES2.Frond07Scar	archipelago	Damaged Terrain	scars	0	1	1	0	archifronds	frond07crisp		1		0															frond07scar	0	0		0	6	0					frond07scar			
ReImagined HPI RAW\features\archi\VENTS.ArchiVent01	archipelago	Thermal Vent	steamvents	1	1	1	0	archivents	vent01				0			1																			1							
ReImagined HPI RAW\features\archi\VENTS.ArchiVent02	archipelago	Thermal Vent	steamvents	1	1	1	0	archivents	vent02				0			1																			1							
ReImagined HPI RAW\features\archi\watermetal.ArchiAquaOre1	archipelago	Metal	metal	0	3	3	0	ArchiAquaOre	archiaquaore1		0	1	5	93	32009	1																										
ReImagined HPI RAW\features\archi\watermetal.ArchiAquaOre2	archipelago	Metal	metal	0	3	3	0	ArchiAquaOre	archiaquaore2		0	1	5	129	32009	1																										
ReImagined HPI RAW\features\archi\watermetal.ArchiAquaOre3	archipelago	Metal	metal	0	3	3	0	ArchiAquaOre	archiaquaore3		0	1	5	243	32009	1																										
ReImagined HPI RAW\features\corpses\Armaas_dead.Armaas_dead	All Worlds	Wreckage	arm_corpses		3	3	20						100	1086	1888		tree1reclamate													1				1		Armaas_dead			smudge01			
ReImagined HPI RAW\features\corpses\Armacsub_dead.Armacsub_dead	All Worlds	Wreckage	arm_corpses		4	4	20						100	556	288		tree1reclamate													1				1		Armacsub_dead			smudge01			
ReImagined HPI RAW\features\corpses\Armah_dead.armah_dead	All Worlds	Wreckage	arm_corpses		3	3	20						100	96	300		tree1reclamate													1				1		armah_dead			smudge01			
ReImagined HPI RAW\features\corpses\armamb_dead.armamb_dead	All Worlds	Wreckage	arm_corpses		3	3	20						100	1602	1326		tree1reclamate											armamb_dead2		1				1		armamb_dead1			smudge01			
ReImagined HPI RAW\features\corpses\armamb_dead.armamb_dead2	All Worlds	Wreckage	arm_corpses		3	3	20						100	801	663		tree1reclamate											armamb_heap		1				1		armamb_dead2			smudge01			
ReImagined HPI RAW\features\corpses\armamb_dead.armamb_heap	All Worlds	Wreckage	heaps		3	3	4						100	496	624		tree1reclamate													1				0		3x3b			smudge01			
ReImagined HPI RAW\features\corpses\Armamph_dead.armamph_dead	All Worlds	Wreckage	arm_corpses		3	3	20						100	204	640		tree1reclamate											armamph_heap		1				1		armamph_dead			smudge01			
ReImagined HPI RAW\features\corpses\Armamph_dead.armamph_heap	All Worlds	Wreckage	heaps		3	3	4						100	102	320		tree1reclamate													1				0		3x3d			smudge01			
ReImagined HPI RAW\features\corpses\Armanac_dead.armanac_dead	All Worlds	Wreckage	arm_corpses		3	3	20						100	105	464		tree1reclamate													1				1		armanac_dead			smudge01			
ReImagined HPI RAW\features\corpses\armason_dead.armason_dead	All Worlds	Wreckage	arm_corpses		4	4	40						100	130	256		tree1reclamate													1				0		armason_dead			smudge01			
ReImagined HPI RAW\features\corpses\Armatl_dead.armatl_dead	All Worlds	Wreckage	arm_corpses		4	4	20						100	643	1160		tree1reclamate													1				1		armatl_dead			smudge01			
ReImagined HPI RAW\features\corpses\Armbeac_dead.Armbeac_dead	All Worlds	Wreckage	arm_corpses		8	8	20						100	4171	8800		tree1reclamate											Armbeac_heap		1				1		Armbeac_dead			smudge01			
ReImagined HPI RAW\features\corpses\Armbeac_dead.Armbeac_heap	All Worlds	Wreckage	heaps		8	8	4						100	2085	4400		tree1reclamate													1				0		7x7b			smudge01			
ReImagined HPI RAW\features\corpses\Armch_dead.Armch_dead	All Worlds	Wreckage	arm_corpses		3	3	20						100	317	578		tree1reclamate													1				1		Armch_dead			smudge01			
ReImagined HPI RAW\features\corpses\Armckfus_dead.armckfus_dead	All Worlds	Wreckage	arm_corpses		5	4	40						100	4336	1760		tree1reclamate											armckfus_heap		1				1		armckfus_dead			smudge01			
ReImagined HPI RAW\features\corpses\Armckfus_dead.armckfus_heap	All Worlds	Wreckage	heaps		4	4	4						100	2168	880		tree1reclamate													1				0		4x4a			smudge01			
ReImagined HPI RAW\features\corpses\Armdev1_dead.Armdev1_dead	All Worlds	Wreckage	arm_corpses		8	8	20						100	6836	3288		tree1reclamate											Armdev1_heap		1				1		Armdev1_dead			smudge01			
ReImagined HPI RAW\features\corpses\Armdev1_dead.Armdev1_heap	All Worlds	Wreckage	heaps		8	8	4						100	3418	1644		tree1reclamate													1				0		7x7a			smudge01			
ReImagined HPI RAW\features\corpses\ARMEMP_dead.armemp_dead	All Worlds	Wreckage	arm_corpses		3	3	20						100	1441	2048		tree1reclamate											armemp_heap		1				1		armemp_dead			smudge01			
