	UnitName	Version	Side	Objectname	Designation	Name	Description	FootprintX	FootprintZ	BuildCostEnergy	BuildCostMetal	MaxDamage	MaxWaterDepth	MaxSlope	EnergyUse	BuildTime	WorkerTime	BMcode	Builder	ThreeD	ZBuffer	NoAutoFire	SightDistance	RadarDistance	SoundCategory	EnergyStorage	MetalStorage	ExplodeAs	SelfDestructAs	Category	TEDClass	Copyright	YardMap	Corpse	GermanName	GermanDescription	UnitNumber	FrenchName	Frenchdescription	firestandorders	StandingFireOrder	mobilestandorders	StandingMoveOrder	canmove	canpatrol	canstop	SpanishName	SpanishDescription	ItalianName	ItalianDescription	Ovradjust	canguard	MaxVelocity	BrakeRate	Acceleration	TurnRate	SteeringMode	ShootMe	Scale	EnergyMake	DefaultMissionType	maneuverleashlength	MovementClass	MinWaterDepth	buildangle	canattack	Weapon1	Weapon2	Weapon3	downloadable	wpri_badTargetCategory	BadTargetCategory	wsec_badTargetCategory	Floater	Canfly	cruisealt	BankScale	Builddistance	CanReclamate	MetalMake	Upright	standingmoveorder	SonarDistance	WaterLine	Downloadable	Spanishdescription	Italiandescription	NoChaseCategory	canhover	digger	DamageModifier	antiweapons	ai_weight	ai_limit	noshadow	floater	waterline	ActivateWhenBuilt	onoffable	RadarDistanceJam	NoShadow	Waterline	sortbias	IsAirBase	TransMaxUnits	canload	transportsize	transportcapacity	altfromsealevel	corpse	norestrict	HoverAttack	CloakCost	candgun	CloakCostMoving	HealTime	CanCapture	HideDamage	ImmuneToParalyzer	Commander	ShowPlayerName	mincloakdistance	maxwaterdepth	amphibious	IsFeature	PigLatinName	JapaneseName	PigLatinDescription	MoveRate1	Buildangle	MakesMetal	teleporter	Stealth	ExtractsMetal	kamikaze	selfdestructcountdown	init_cloaked	attackrunlength	SonarDistanceJam	FrenchDescription	istargetingupgrade	transportmaxunits	TidalGenerator	kamikazedistance	WindGenerator	MobileStandOrders	weapon1	cantbetransported	Germanname	Germandescription	Frenchname	Spanishname	Italianname	canreclamate	canresurrect	resurrect	stealth	BuildAngle	OVRadjust	upright	ovradjust	PitchScale	MoveRate2
ReImagined HPI Compile\ReIm_Units\ARMAMPH.UNITINFO	ARMAMPH	1.2	ARM	ARMAMPH	ARM-WKML	Pelican	Amphibious Kbot	3	3	2468	255	800		14	0.4	5982	0	1	0	1	1	0	290	0	ARM_AMPHIB	0	0	BIG_UNITEX	BIG_UNIT	ARM KBOT LEVEL2 WEAPON NOTAIR CTRL_W	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		armamph_dead	Pelikan	Amphibien-Kbot	238	Pélican	Kbot Amphibie	1	2	1	1	1	1	1	Pelícano	Kbot anfibio	Pelican	Kbot anfibio		1	1.5	0.15	0.1	400	2	1		0.4	Standby	640	TANKHOVER3			1	armamph_weapon1	armamph_weapon2		1	VTOL	VTOL									1							VTOL	1				weight ARMAMPH 0.5	limit ARMAMPH 20	1	0	9																																																																		
ReImagined HPI Compile\ReIm_Units\ARMANAC.UNITINFO	ARMANAC	1.2	ARM	ARMANAC	ARM-HG	Anaconda	Hovertank	3	3	2856	272	880	0	16	2.6	8115	0	1	0	1	1	0	280	0	ARM_HOVER_MID	0	0	BIG_UNITEX	BIG_UNIT	ARM HOVER WEAPON LEVEL2 NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armanac_dead	Anaconda	Schwebepanzer	174	Anaconda	Hover-tank	1	2	1	1	1	1	1	Anaconda		Anaconda			1	2.6	0.09	0.06	250	1	1		2.6	Standby	640	TANKHOVER3			1	ARMANAC_WEAPON			1	VTOL	VTOL														Tanque aerodeslizador	Hovercraft armato	VTOL	1																																																																										
ReImagined HPI Compile\ReIm_Units\ARMANNI.UNITINFO	ARMANNI	1	ARM	ARMANNI	ARM-ANN1	Annihilator	Energy weapon	4	4	25025	3985	1410	0	10	0	75071	0	0	0	1	1	1	380	1200	ARM_ANNI	0	0	ATOMIC_BLAST	CRAWL_BLASTSML	ARM SPECIAL WEAPON LEVEL3 NOTAIR NOTSUB 	FORT	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooo	armanni_dead	Annihilator	Feuert Energiegeschosse	7	Exterminator	Canon à énergie	1	2					1	Aniquilador	Arma de Energía	Annihilator	Arma energetica	1							1			GUARD_NOMOVE				4096	1	ARM_TOTAL_ANNIHILATOR																								0.5							0																																																																	
ReImagined HPI Compile\ReIm_Units\ARMAP.UNITINFO	ARMAP	1	ARM	ARMAP	ARM-ACF	Aircraft Plant	Produces Aircraft	7	6	1370	850	1850	0	10	0	7240	100	0	1	1	1	0	225	500	AIRPLANT	100	100	LARGE_BUILDINGEX	LARGE_BUILDING	ARM PLANT LEVEL1 NOWEAPON NOTAIR NOTSUB CTRL_F	PLANT	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooo ooooooo occccco occccco occccco occccco	armap_dead	Flugzeugfabrik	Tech Level 1	8	Usine aéronautique	Niveau Tech 1	1	2	1	1	1	1	1	Planta Constr. Aeronaves 	Produce aviones	Fabbrica Aerei	Produce velivoli	1																																															0																																																																	
ReImagined HPI Compile\ReIm_Units\ARMARAD.UNITINFO	ARMARAD	1	ARM	ARMARAD	AS-EWDL2	Advanced Radar Tower	Long Range Radar Tower	2	2	1830	125	120	0	10	18	4800	0	0	0	1	1	0	350	2880	ARM_ADVRADAR	0	0	SMALL_BUILDINGEX	SMALL_BUILDING	ARM SPECIAL LEVEL3 NOWEAPON NOTAIR NOTSUB CTRL_R	SPECIAL	Copyright 1997 Humongous Entertainment. All rights reserved.	oooo	armarad_dead	Verbesserter Radarturm	Langstrecken-Radarturm	9	Tour radar évoluée	Radar de longue portée								Torra de Radar Avanzada	Torreta de radar de largo alcance	Torre Radar Avanzata	Torre Radar a lungo raggio	1									18					8192																																	1	1																																																																
ReImagined HPI Compile\ReIm_Units\ARMASER.UNITINFO	ARMASER	1	ARM	ARMASER	ARM-CB	Eraser	Radar Jammer	1	1	1326	73	305	112	32	10	4937	0	1	0	1	1	0	200	0	ARM_JAM	0	0	BIG_UNITEX	BIG_UNIT	ARM KBOT NOWEAPON JAM LEVEL2 NOTAIR NOTSUB CTRL_R	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		armaser_dead	Eraser	Radar-Störer	10	Dégradator	Brouilleur de radar			1	1	1	1	1	Eraser	Distorsionador de Radar	Eraser	Crea interferenze radar	1	1	1	1	0.1	950	1	1		10	Standby	640	TANKSH2																																			1	1	500																																																															
ReImagined HPI Compile\ReIm_Units\ARMASON.UNITINFO	ARMASON	1.2	ARM	ARMASON	AS-ERS	Advanced Sonar Station	Extended Sonar	4	4	2469	163	320		10	22	6152	0	0	0	1	1	0	185		ARM_SONAR	0	0	SMALL_BUILDINGEX	SMALL_BUILDING	ARM SPECIAL SONAR LEVEL2 NOTAIR NOTSUB CTRL_R	WATER	Copyright 1997 Humongous Entertainment. All rights reserved.	wwww	armason_dead	Advanced Sonar	Verbessertes Sonar	202	Sonar Pro	Sonar avancé								Sonar Avanzado	Sonar mejorado	Sonar Avanzato	Sonar a lungo raggio										22				24	8192					1													2250								0.46							1	1		1	24																																																													
ReImagined HPI Compile\ReIm_Units\ARMASP.UNITINFO	ARMASP	1	ARM	ARMASP	ARM-SP1	Air Repair Pad	Automatically repairs aircraft	4	4	8510	425	680	1	10	0	21953	200	0	1	1	1	0	175	0	AIRPLANT	100	0	BIG_UNITEX	BIG_UNIT	ARM REPAIRPAD LEVEL3 NOWEAPON NOTAIR NOTSUB 	SPECIAL	Copyright 1997 Humongous Entertainment. All rights reserved.	oooo oooo oooo oooo	armasp_dead	Luftfahrt-Reparaturset	Repariert Lufteinheiten automatisch	154	Piste de réparations	Répare automatiquement les avions								Plat. Aérea Reparaciones	Repara aviones automáticamente	Piattaforma Aerei	Ripara automaticamente i velivoli	1									10					1024													6																				1	1				0	1																																																											
ReImagined HPI Compile\ReIm_Units\ARMASY.UNITINFO	ARMASY	1	ARM	ARMASY	ARM-SCF	Adv. Shipyard	Produces Ships	8	8	2402	2524	2820			0	13310	200	0	1	1	1	0	230	0	SHIPYARD	200	200	LARGE_BUILDINGEX	LARGE_BUILDING	ARM PLANT LEVEL1 NOWEAPON NOTAIR NOTSUB CTRL_F	PLANT	Copyright 1997 Humongous Entertainment. All rights reserved.	wCCCCCCw CCCCCCCC CCCCCCCC CCCCCCCC CCCCCCCC CCCCCCCC CCCCCCCC wCCCCCCw	armasy_dead	Verbesserte Werft	Tech Level 2	11	Chantier naval évolué	Niveau Tech 2	1	2	1	1	1	1	1	Astillero Avanzado	Produce barcos	Cantiere Navale Spec.	Produce navi	1													30																1				1																	1																																																														
ReImagined HPI Compile\ReIm_Units\ARMATL.UNITINFO	ARMATL	1.2	ARM	ARMATL	AS-TDS	Advanced Torpedo Launcher	Advanced Torpedo Launcher	4	4	4942	1762	520			0.1	6262	0	0	0	1	1	0	150	0	ADV_TORPLAUNCH	0	0	SMALL_UNITEX	SMALL_UNIT	ARM SPECIAL WEAPON TORP LEVEL2 NOTAIR NOTSUB 	WATER	Copyright 1997 Humongous Entertainment. All rights reserved.	wwwwwwwww	armatl_dead	Verbesserter Torpedowerfer	Verbesserter Torpedowerfer	219	Torpillard	Lance-Torpilles	1	2					1	Lanzatorpedos Avanzado	Lanzatorpedos Avanzado	Lanciatorpedini avanzato	Lanciatorpedini avanzato								1		0.1	GUARD_NOMOVE			1	16384	1	ARMATL_TORPEDO			1													650	30														1			1																																																														
ReImagined HPI Compile\ReIm_Units\ARMATLAS.UNITINFO	ARMATLAS	1	ARM	ARMATLAS	AFD-T3	Atlas	Air Transport	3	3	2479	107	150	0	10	0.6	5500	0	1	0	1	1	0	245	0	ARM_VTOL	0	0	SMALL_UNITEX	SMALL_UNIT	ARM VTOL CTRL_V TPORT LEVEL1 NOWEAPON  NOTSUB 	VTOL	Copyright 1997 Humongous Entertainment. All rights reserved.			Atlas	Transportflugzeug	12	Atlas	Avion de transport	0		0	1	1	1	1	Atlas	Transporte aéreo	Atlas	Traspoto aereo	1	1	7	1	0.04	128	1	1	0.8	0.6	VTOL_standby	1280													1	90	1																												1	1	3	5																																																							
ReImagined HPI Compile\ReIm_Units\ARMAVP.UNITINFO	ARMAVP	1	ARM	ARMAVP	ARM-VCF2	Adv. Vehicle Plant	Produces Vehicles	6	6	3200	1984	2435	0	10	0	14950	200	0	1	1	1	0	218	0	TANKPLANT	200	200	LARGE_BUILDINGEX	LARGE_BUILDING	ARM PLANT LEVEL2 NOWEAPON NOTAIR NOTSUB CTRL_F	PLANT	Copyright 1997 Humongous Entertainment. All rights reserved.	occcco occcco occcco occcco occcco occcco	armavp_dead	Verb. Fahrzeugfabrik	Tech Level 2	13	Usine de véhicules évoluée	Niveau Tech 2	1	2	1	1	1	1	1	Planta Av. Constr. Vehículos	Produce vehículos	Fabbrica Veicoli Spec.	Produce veicoli	1														1024																																						0																																																												
ReImagined HPI Compile\ReIm_Units\ARMAWAC.UNITINFO	ARMAWAC	1.2	ARM	ARMAWAC	AFD-AR	Eagle	Radar Plane	3	3	8062	165	110	0	10	23	12819	0	1	0	1	1	0	350	1650	ARM_VTOL	0	0	BIG_UNITEX	BIG_UNIT	ARM VTOL CTRL_V LEVEL2 NOWEAPON NOTSUB CTRL_R	VTOL	Copyright 1997 Humongous Entertainment. All rights reserved.			Eagle	Radarflugzeug	239	Eagle	Avion de radar			1	1	1	1	1	Eagle	Radar aéreo	Eagle	Radar aereo		1	9.2	4	0.095	356	1	1	1	23	VTOL_standby	1280								1					1	160	1																	limit ARMAwac 5															1																																																						
ReImagined HPI Compile\ReIm_Units\ARMBATS.UNITINFO	ARMBATS	1	ARM	ARMBATS	ASD-SB	Millenium	Battleship	6	6	20731	4404	5720			48	42730	0	1	0	1	1	0	350	0	ARM_SHIP	0	0	BIG_UNITEX	BIG_UNIT	ARM SHIP LEVEL2 WEAPON NOTAIR NOTSUB CTRL_W	SHIP	Copyright 1997 Humongous Entertainment. All rights reserved.		armbats_dead	Millenium	Schlachtschiff	14	Millénium	Cuirassé	1	2	1	1	1	1	1	Millenium	Acorazado	Millennium	Nave da battaglia	1	1	2	0.018	0.005	64	1	1	0.6	50	Standby	640	BOATD6	30	16384	1	ARM_BATS	ARM_BATS			VTOL	VTOL	VTOL	1														VTOL																																																																											
ReImagined HPI Compile\ReIm_Units\ARMBEAC.UNITINFO	ARMBEAC	1.2	ARM	ARMBEAC	BEC	Alien Beacon	Alien Beacon	8	8	423100	5214	11000	0	10	0	253958	0	0	0	1	1	0	210	0	ARM_ESTOR	0	0	NUCLEAR_MISSILE	NUCLEAR_MISSILE	ARM BEACON LEVEL2 NOWEAPON NOTAIR NOTSUB 	SPECIAL	Copyright 1997 Humongous Entertainment. All rights reserved.	yyyooyyy yyyooyyy yyooooyy oooooooo oooooooo yyooooyy yyyooyyy yyyooyyy		Matrix-Konverter	Außeridischer Matrix-Konverter	273	Balise Extraterrestre	Balise Extraterrestre								Faro alienígena	Faro alienígena	Manufatto alieno	Manufatto alieno																				1																												1												Armbeac_dead	1																																																				
ReImagined HPI Compile\ReIm_Units\ARMBRAWL.UNITINFO	ARMBRAWL	1	ARM	ARMBRAWL	AFD-J17	Brawler	Gunship	3	3	6249	314	920	0	10	0.8	14385	0	1	0	1	1	0	350	0	ARM_VTOL	0	0	BIG_UNITEX	BIG_UNIT	ARM VTOL CTRL_V LEVEL2 WEAPON  NOTSUB CTRL_W CTRL_P	VTOL	Copyright 1997 Humongous Entertainment. All rights reserved.			Brawler	Kampfhubschrauber	15	Frelon	Hélicoptère de combat	1	2	1	1	1	1	1	Brawler	Helicóptero de combate	Brawler	Elicottero	1	1	6.6	4	0.16	800	1	1	1	0.8	VTOL_standby	1280				1	VTOL_EMG				VTOL	VTOL			1	60	1																																			1																																																			
ReImagined HPI Compile\ReIm_Units\ARMBRTHA.UNITINFO	ARMBRTHA	1	ARM	ARMBRTHA	ARM-LRC	Big Bertha	Long Range Plasma Cannon	3	3	64680	4184	1800	0	10	0	85185	0	0	0	1	1	1	210	0	ARM_BRTHA	0	0	ATOMIC_BLAST	ATOMIC_BLAST	ARM LEVEL3 strategic weapon NOTAIR NOTSUB 	FORT	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooo	armbrtha_dead	Big Bertha	Langstrecken-Plasmakanone	16	Grosse Bertha	Canon à plasma de longue portée	1	0					1	Big Bertha	Cañón de plasma de largo alcance	Bertha	Cannone al plasma a lunga gittata	1							1		0	GUARD_NOMOVE				4096	1	ARM_BERTHACANNON				VTOL																																																																																												
ReImagined HPI Compile\ReIm_Units\ARMBULL.UNITINFO	ARMBULL	1	ARM	ARMBULL	ARM-HA8	Bulldog	Heavy Assault Tank	3	3	2994	467	2102	100	12	0.8	8675	0	1	0	1	1	0	260	0	ARM_TANK	0	0	BIG_UNITEX	BIG_UNIT	ARM TANK LEVEL2 WEAPON NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armbull_dead	Bulldog	Schwerer Gefechtspanzer	17	Pittbull	Char d'assaut lourd	1	2	1	1	1	1	1	Bulldog	Tanque de asalto pesado 	Bulldog	Carro armato pesante da assalto	1	1	1.1	0.007629395	0.01	300	1	1		0.8	Standby	640	TANKBH3			1	ARM_BULL				VTOL	VTOL																VTOL																																																																											
ReImagined HPI Compile\ReIm_Units\ARMCA.UNITINFO	ARMCA	1	ARM	ARMCA	ARM-CA1	Construction Aircraft	Tech Level 1	2	2	4320	105	280	0	10	0.1	8844	50	1	1	1	1	0	280	0	ARM_CVTOL	50	50	SMALL_UNITEX	SMALL_UNIT	ARM VTOL CTRL_V LEVEL1 CONSTR NOWEAPON  NOTSUB CTRL_B	VTOL	Copyright 1997 Humongous Entertainment. All rights reserved.			Konstruktions-Flugzeug	Tech Level 1	18	Avion de construction 	Niveau Tech 1			1	1	1	1	1	Aeronave de Constr. 	Nivel Tecn. 1	Aereo Costruttore	Tecnologia Livello 1	1	1	6.9	1.5	0.06	90	1	1	0.8	11	VTOL_standby	1280													1	70	1.5	40	1	0.2																																																																																			
ReImagined HPI Compile\ReIm_Units\ARMCARRY.UNITINFO	ARMCARRY	1	ARM	ARMCARRY	ASD-SC	Colossus	Light Carrier	6	6	11257	1372	3390			40	25394	200	1	1	1	1	0	350	1800	ARM_SHIP	0	0	ATOMIC_BLAST	ATOMIC_BLAST	ARM SHIP LEVEL1 CARRY NOWEAPON NOTAIR NOTSUB 	SHIP	Copyright 1997 Humongous Entertainment. All rights reserved.		armcarry_dead	Colossus	Leichter Flugzeugträger	19	Colosse	Porte-avions léger			1	1	1	1	1	Colossus	Transporte ligero	Colossus	Portaerei leggera	1	1	2.3	0.02	0.01	64	1	1		370	Standby	640	BOATD6	30	16384									1																								1	1					1																																																											
ReImagined HPI Compile\ReIm_Units\ARMCH.UNITINFO	ARMCH	1.2	ARM	ARMCH	ARM-HC2	Construction Hovercraft	Tech Level 1	3	3	4370	396	723	0	16	1	10494	80	1	1	1	1	0	270		ARM_CHOVER	80	50	BIG_UNITEX	BIG_UNIT	ARM HOVER LEVEL1 CONSTR NOWEAPON NOTAIR NOTSUB CTRL_B	CNSTR	Copyright 1997 Humongous Entertainment. All rights reserved.		armch_dead	Konstruktions-Hovecraft	Tech Level 1	175	Hovercraft de Constructrion	Niveau Tech 1			1	1	1	1	1	Hovercraft de Constr.		Hovercraft da costruzione			1	2.2	0.006	0.01	120	1	1		16	Standby	640	TANKHOVER3							1								70	1	0.3						Nivel Tecn. 1	Tecnologia Livello 1		1																																																																										
