	ID	name	rendertype	lineofsight	turret	model	range	reloadtime	weapontimer	weaponvelocity	startvelocity	weaponacceleration	turnrate	areaofeffect	metalpershot	soundstart	soundhit	firestarter	smokedelay	guidance	tracks	selfprop	smoketrail	tolerance	explosiongaf	explosionart	waterexplosiongaf	waterexplosionart	lavaexplosiongaf	lavaexplosionart	startsmoke	DAMAGE.default	DAMAGE.ARMTHUND	DAMAGE.ARMBRAWL	DAMAGE.ARMPEEP	DAMAGE.ARMFIG	DAMAGE.ARMCA	DAMAGE.ARMACA	DAMAGE.ARMATLAS	DAMAGE.ARMPNIX	DAMAGE.ARMHAWK	DAMAGE.ARMLANCE	DAMAGE.CORFINK	DAMAGE.CORVENG	DAMAGE.CORVAMP	DAMAGE.CORHURC	DAMAGE.CORTITAN	DAMAGE.CORACA	DAMAGE.CORSHAD	DAMAGE.CORAPE	DAMAGE.CORCA	DAMAGE.CORVALK	ballistic	toairweapon	edgeeffectiveness	minbarrelangle	accuracy	burnblow	color	beamweapon	color2	propeller	waterweapon	vlaunch	paralyzer	noautorange	flighttime	energypershot	stockpile	targetable	commandfire	cruise	twophase	shakemagnitude	shakeduration	DAMAGE.armamd	DAMAGE.corfmd	DAMAGE.corcom	DAMAGE.coraap	DAMAGE.coraca	DAMAGE.corack	DAMAGE.coracsub	DAMAGE.coracv	DAMAGE.corah	DAMAGE.corak	DAMAGE.coralab	DAMAGE.coramph	DAMAGE.corap	DAMAGE.corape	DAMAGE.corarad	DAMAGE.corarch	DAMAGE.corason	DAMAGE.corasp	DAMAGE.corasy	DAMAGE.coratl	DAMAGE.coravp	DAMAGE.corawac	DAMAGE.corbats	DAMAGE.corbeac	DAMAGE.corberg	DAMAGE.corbuild	DAMAGE.corbunk	DAMAGE.corburn	DAMAGE.corbuzz	DAMAGE.corbvalk	DAMAGE.corca	DAMAGE.corcan	DAMAGE.corcarry	DAMAGE.corch	DAMAGE.corck	DAMAGE.corckfus	DAMAGE.corcrash	DAMAGE.corcrus	DAMAGE.corcs	DAMAGE.corcsa	DAMAGE.corcv	DAMAGE.cordecom	DAMAGE.cordev1	DAMAGE.cordino	DAMAGE.cordoom	DAMAGE.corestor	DAMAGE.coreter	DAMAGE.corfast	DAMAGE.corfav	DAMAGE.corfdrag	DAMAGE.corfhlt	DAMAGE.corfink	DAMAGE.corflak	DAMAGE.corfmkr	DAMAGE.corfrt	DAMAGE.corfus	DAMAGE.corgant	DAMAGE.corgate	DAMAGE.corgator	DAMAGE.corgeo	DAMAGE.corgol	DAMAGE.corhead	DAMAGE.corhlt	DAMAGE.corhp	DAMAGE.corhrk	DAMAGE.corhunt	DAMAGE.corhurc	DAMAGE.corint	DAMAGE.corkrog	DAMAGE.corlab	DAMAGE.corlevlr	DAMAGE.corllt	DAMAGE.corlook	DAMAGE.cormabm	DAMAGE.cormakr	DAMAGE.cormart	DAMAGE.cormex	DAMAGE.cormh	DAMAGE.cormine1	DAMAGE.cormine2	DAMAGE.cormine3	DAMAGE.cormine4	DAMAGE.cormine5	DAMAGE.cormine6	DAMAGE.cormist	DAMAGE.cormls	DAMAGE.cormlv	DAMAGE.cormmkr	DAMAGE.cormoho	DAMAGE.cormort	DAMAGE.cormship	DAMAGE.cormstor	DAMAGE.cornecro	DAMAGE.corplat	DAMAGE.corpt	DAMAGE.corpun	DAMAGE.corpyro	DAMAGE.corrad	DAMAGE.corraid	DAMAGE.correap	DAMAGE.corrl	DAMAGE.corroach	DAMAGE.corroy	DAMAGE.corscorp	DAMAGE.corseal	DAMAGE.corseap	DAMAGE.corsent	DAMAGE.corsfig	DAMAGE.corsh	DAMAGE.corshad	DAMAGE.corshark	DAMAGE.corsilo	DAMAGE.corsjam	DAMAGE.corsnap	DAMAGE.corsolar	DAMAGE.corsonar	DAMAGE.corspec	DAMAGE.corspot	DAMAGE.corspy	DAMAGE.corss	DAMAGE.corssub	DAMAGE.corstorm	DAMAGE.corsub	DAMAGE.corsumo	DAMAGE.corsy	DAMAGE.cortarg	DAMAGE.corthovr	DAMAGE.corthud	DAMAGE.corthund	DAMAGE.cortide	DAMAGE.cortitan	DAMAGE.cortl	DAMAGE.cortoast	DAMAGE.cortron	DAMAGE.cortruck	DAMAGE.cortship	DAMAGE.coruwes	DAMAGE.coruwfus	DAMAGE.coruwmex	DAMAGE.coruwms	DAMAGE.corvalk	DAMAGE.corvamp	DAMAGE.corveng	DAMAGE.corvipe	DAMAGE.corvoyr	DAMAGE.corvp	DAMAGE.corvrad	DAMAGE.corvroc	DAMAGE.corwin	soundtrigger	duration	DAMAGE.armmine1	DAMAGE.armmine2	DAMAGE.armmine3	DAMAGE.armmine4	DAMAGE.armmine5	DAMAGE.ARMCOM	DAMAGE.CORCOM	coverage	interceptor	burstrate	DAMAGE.armcom	aimrate	sprayangle	burst	DAMAGE.Default	holdtime	DAMAGE.ARMSEAP	DAMAGE.ARMSEHAK	DAMAGE.CORSEAP	DAMAGE.CORHUNT	DAMAGE.armflash	DAMAGE.armpw	DAMAGE.armwar	DAMAGE.armatl	DAMAGE.armtl	DAMAGE.armsubk	startfire	DAMAGE.armaas	DAMAGE.armaca	DAMAGE.armack	DAMAGE.armacsub	DAMAGE.armacv	DAMAGE.armah	DAMAGE.armamph	DAMAGE.armanac	DAMAGE.armaser	DAMAGE.armatlas	DAMAGE.armawac	DAMAGE.armbats	DAMAGE.armbrawl	DAMAGE.armbs	DAMAGE.armbull	DAMAGE.armbv	DAMAGE.armca	DAMAGE.armcarry	DAMAGE.armch	DAMAGE.armck	DAMAGE.armcroc	DAMAGE.armcrus	DAMAGE.armcs	DAMAGE.armcsa	DAMAGE.armcuda	DAMAGE.armcv	DAMAGE.armdecom	DAMAGE.armfark	DAMAGE.armfast	DAMAGE.armfav	DAMAGE.armfido	DAMAGE.armfig	DAMAGE.armflea	DAMAGE.armham	DAMAGE.armhawk	DAMAGE.armhrk	DAMAGE.armjam	DAMAGE.armjeth	DAMAGE.armlance	DAMAGE.armlatnk	DAMAGE.armlcrwl	DAMAGE.armmanni	DAMAGE.armmark	DAMAGE.armmart	DAMAGE.armmav	DAMAGE.armmerl	DAMAGE.armmh	DAMAGE.armmls	DAMAGE.armmlv	DAMAGE.armmship	DAMAGE.armpeep	DAMAGE.armpnix	DAMAGE.armpt	DAMAGE.armrectr	DAMAGE.armrock	DAMAGE.armroy	DAMAGE.armrtank	DAMAGE.armsam	DAMAGE.armscab	DAMAGE.armscram	DAMAGE.armseap	DAMAGE.armseer	DAMAGE.armsehak	DAMAGE.armsfig	DAMAGE.armsh	DAMAGE.armsjam	DAMAGE.armsnipe	DAMAGE.armspid	DAMAGE.armspy	DAMAGE.armss	DAMAGE.armstar	DAMAGE.armstraf	DAMAGE.armstump	DAMAGE.armsub	DAMAGE.armthovr	DAMAGE.armthund	DAMAGE.armship	DAMAGE.armvader	DAMAGE.armyork	DAMAGE.armzeus	DAMAGE.armtship	meteor	noradar	unitsonly	soundwater	randomdecay	groundbounce	endsmoke	dropped	metal	energy	pitchtolerance	noexplode
ReImagined HPI Compile\ReIm_Weapons\Armscram_weapon.ARMSCRAM_WEAPON	158	Plasma Cannon	4		1		320	1.8		210				48		cannon2	xplomed4								fx	explode3	fx	h2o	fx	lavasplash	1	112																					1																																																																																																																																																																																																																																																																																																					
ReImagined HPI Compile\ReIm_Weapons\Armseap_weapon.ARMSEAP_WEAPON1	146	Torpedo Launcher	1	1	0	torpedo	300	6	5	100	100	15	15000	16		bombrel	xplodep2			1	1	1		12000	fx	explode3	fx	h2oboom1	fx	lavasplashsm		400																										1				1	1																																																																																																																																																																																																																																																																																											
ReImagined HPI Compile\ReIm_Weapons\Armseap_weapon.ARMSEAP_WEAPON2	193	Torpedo Launcher	1	1	0	torpedo	300	6	5	100	100	15	15000	16		bombrel	xplodep2			1	1	1		12000	fx	explode3	fx	h2oboom1	fx	lavasplashsm		400																										1				1	1																																																																																																																																																																																																																																																																																											
ReImagined HPI Compile\ReIm_Weapons\Armseap_weapon.ARMSEAP_WEAPON3	95	Guided Missiles	1	1		missile	510	3	5	480	420	146	16384	48	0	Rocklit3	xplosml2	70	.1	1	1	1	1	8000	fx	explode3	fx	h2o	fx	lavasplash	1	44	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130																																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\Armsehak_weapon.ARMSEHAK_WEAPON	164	Plasma Cannon	4		1		320	1.8		210				48		cannon2	xplomed4								fx	explode3	fx	h2o	fx	lavasplash	1	112																					1																																																																																																																																																																																																																																																																																																					
ReImagined HPI Compile\ReIm_Weapons\Armsfig_weapon.ARMSFIG_WEAPON	75	Guided Missiles	1	1		missile	510	3	6	522	420	146	19384	48	0	Rocklit3	xplosml2	70	.1	1	1	1	1	8000	fx	explode3	fx	h2o	fx	lavasplash	1	50	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140																																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\Armsfig_weapon.ARMSFIG_WEAPON2	96	Guided Missiles	1	1		missile	510	3	6	522	420	146	19384	48	0	Rocklit3	xplosml2	70	.1	1	1	1	1	8000	fx	explode3	fx	h2o	fx	lavasplash	1	50	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140																																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\Armsh_weapon.ARMSH_WEAPON	195	Laser	0	1	1		210	.8		450				8		lasrfast	lashit	50							fx	explode5	fx	h2oboom1	fx	lavasplashsm		45																											232	1	234																																																																																																																																																																				1	.02										.2																																																																																																														
ReImagined HPI Compile\ReIm_Weapons\ARMsnipe_weapon.ARMSNIPE_WEAPON	160	Annihilator Weapon	0	1	1		600	20		1000				8		annigun1	xplolrg1	90							fx	explode5	fx	h2oboom1	fx	lavasplashsm		1230																											144	1	217							1500										820																													2810																																					2460																																																							5000																																						615																																																																																																													
ReImagined HPI Compile\ReIm_Weapons\Armvulc_weapon.ARMVULC_WEAPON	2	Bertha Cannon	4		1		3080	0.25		800				100		xplonuk4	xplonuk1							300	fx	NUKE1	fx	h2oboom2	fx	lavasplashlg	1	1000																					1				800											2000																																																																																																																																																																										2500																																																																																																												
ReImagined HPI Compile\ReIm_Weapons\Armwar_weapon.ARMWAR_EMG	171	E.M.G.	4	1	1		180	.4	1	300				8		armsml2	lasrhit1							5000	fx	explode5	fx	h2oboom1	fx	lavasplashsm	1	12																											1																																																																																																																																																																						1											.2			1024	2																																																																																																										
ReImagined HPI Compile\ReIm_Weapons\Armwar_weapon.ARMWAR_LCANNON	176	Light Cannon	4		1		240	2.13		170				32		canlite3	xplosml3							3000	fx	explode4	fx	h2o	fx	lavasplash	1	60																					1																																																																																																																																																																																																																																																																																																					
ReImagined HPI Compile\ReIm_Weapons\ARMYORK_weapon.ARMyork_GUN	116	Flak Cannon	4		1		680	.55	1	900				105		canlite2	xplomed2							767	fx	explode3	fx	h2o	fx	lavasplash	1																						1	1	0.90	-24	1000	1	1																																																																																																																																																																																						128																																																																																																									
ReImagined HPI Compile\ReIm_Weapons\CANNONS.ARM_LIGHTCANNON	50	Light Cannon	4		1		240	1.53		170				32		canlite3	xplosml3								fx	explode4	fx	h2o	fx	lavasplash	1	50																					1																																																																																																																																																																																																																																																																																																					
ReImagined HPI Compile\ReIm_Weapons\CANNONS.CORE_LIGHTCANNON	51	Light Cannon	4		1		240	1.53		170				32		canlite3	xplosml3								fx	explode4	fx	h2o	fx	lavasplash	1	50																					1																																																																																																																																																																																																																																																																																																					
ReImagined HPI Compile\ReIm_Weapons\CANNONS.ARM_MEDIUMCANNON	52	Plasma Cannon	4		1		320	1.8		210				48		cannon2	xplomed4								fx	explode3	fx	h2o	fx	lavasplash	1	112																					1																																																																																																																																																																																																																																																																																																					
ReImagined HPI Compile\ReIm_Weapons\CANNONS.CORE_MEDIUMCANNON	53	Plasma Cannon	4		1		320	1.9		220				48		cannon2	xplomed4								fx	explode3	fx	h2o	fx	lavasplash	1	127																					1																																																																																																																																																																																																																																																																																																					
ReImagined HPI Compile\ReIm_Weapons\CANNONS.ARM_HAM	54	Plasma Cannon	4		1		320	1.95		210				48		cannon1	xplomed3								fx	explode3	fx	h2o	fx	lavasplash	1	85																					1			-35																																																																																																																																																																																																																																																																																																		
ReImagined HPI Compile\ReIm_Weapons\CANNONS.CORE_THUD	55	Plasma Cannon	4		1		230	1.9		210				48		cannon1	xplomed3								fx	explode3	fx	h2o	fx	lavasplash	1	80																					1			-35																																																																																																																																																																																																																																																																																																		
ReImagined HPI Compile\ReIm_Weapons\CANNONS.ARM_BULL	56	Plasma Cannon	4		1		320	1.4		210				48		cannon3	xplomed2								fx	explode3	fx	h2o	fx	lavasplash	1	147																					1																																																																																																																																																																																																																																																																																																					
ReImagined HPI Compile\ReIm_Weapons\CANNONS.CORE_REAP	57	Plasma Cannon	4		1		320	1.3		210				48		cannon3	xplomed2								fx	explode3	fx	h2o	fx	lavasplash	1	143																					1																																																																																																																																																																																																																																																																																																					
ReImagined HPI Compile\ReIm_Weapons\CANNONS.ARM_ARTILLERY	58	Plasma Cannon	4		1		620	2.75		310				48		cannhvy2	xplomed4								fx	explode3	fx	h2o	fx	lavasplash	1	130																					1				2000																																																																																																																																																																																																																																																																																																	
ReImagined HPI Compile\ReIm_Weapons\CANNONS.CORE_ARTILLERY	59	Plasma Cannon	4		1		620	2.95		310				48		cannhvy2	xplomed4								fx	explode3	fx	h2o	fx	lavasplash	1	140																					1				2000																																																																																																																																																																																																																																																																																																	
ReImagined HPI Compile\ReIm_Weapons\CANNONS.GAUSS	60	Gauss Cannon	4	1	1		480	2.6		450				8		cannhvy1	xplomed2								fx	explode5	fx	h2oboom1	fx	lavasplashsm	1	120																								-15																																																																																																																																																																																																																																																																																																		
ReImagined HPI Compile\ReIm_Weapons\CANNONS.COR_GOL	62	Heavy Cannon	4		1		400	1.5		250				64		cannhvy2	xplomed4								fx	explode2	fx	h2o	fx	lavasplash	1	196																					1																																																																																																																																																																																																																																																																																																					
ReImagined HPI Compile\ReIm_Weapons\CANNONS.ARM_ROY	64	Heavy Cannon	4		1		660	2		300				48		cannon3	xplomed2								fx	explode2	fx	h2o	fx	lavasplash	1	165																					1			-25																																																																																																																																																																																																																																																																																																		
ReImagined HPI Compile\ReIm_Weapons\CANNONS.CORE_ROY	65	Heavy Cannon	4		1		660	2.4		300				48		cannhvy1	xplomed2								fx	explode2	fx	h2o	fx	lavasplash	1	180																					1			-25																																																																																																																																																																																																																																																																																																		
ReImagined HPI Compile\ReIm_Weapons\CANNONS.ARM_CRUS	66	Cruiser Cannon	4		1		1300	2.9		350				64		cannhvy1	xplomed2								fx	explode2	fx	h2o	fx	lavasplash	1	208																					1			-25																																																																																																																																																																																																																																																																																																		
ReImagined HPI Compile\ReIm_Weapons\CANNONS.COR_CRUS	67	Cruiser Cannon	4		1		1300	3		350				64		cannhvy1	xplomed2								fx	explode2	fx	h2o	fx	lavasplash	1	220																					1			-25																																																																																																																																																																																																																																																																																																		
ReImagined HPI Compile\ReIm_Weapons\CANNONS.ARM_BATS	68	BattleShip Cannon	4		1		1250	2.2		350				64		cannhvy1	xplomed2								fx	explode2	fx	h2o	fx	lavasplash	1	260																					1			-25																																																																																																																																																																																																																																																																																																		
ReImagined HPI Compile\ReIm_Weapons\CANNONS.COR_BATS	69	BattleShip Cannon	4		1		1250	2.46		350				64		cannhvy1	xplomed2								fx	explode2	fx	h2o	fx	lavasplash	1	270																					1			-25																																																																																																																																																																																																																																																																																																		
ReImagined HPI Compile\ReIm_Weapons\CANNONS.ARMFIXED_GUN	70	Plasma Cannon	4		1		1250	3		350				64		cannhvy5	xplomed2								fx	explode2	fx	h2o	fx	lavasplash	1	360																					1																																																																																																																																																																																																																																																																																																					
ReImagined HPI Compile\ReIm_Weapons\CANNONS.CORFIXED_GUN	71	Plasma Cannon	4		1		1200	2.8		350				85		cannhvy5	xplomed2								fx	explode2	fx	h2o	fx	lavasplash	1	320																					1																																																																																																																																																																																																																																																																																																					
ReImagined HPI Compile\ReIm_Weapons\CANNONS.ARM_BERTHACANNON	72	Bertha Cannon	4		1		4096	7		800				80		xplonuk4	xplonuk1	50						300	fx	NUKE1	fx	h2oboom2	fx	lavasplashlg	1	2000																					1				500											1500																																																																																																																																																																										2500				1																																																																																																								
ReImagined HPI Compile\ReIm_Weapons\CANNONS.CORE_INTIMIDATOR	73	Intimidator Cannon	4		1		5120	8		1000				100		xplonuk3	xplonuk1	50						300	fx	NUKE1	fx	h2oboom2	fx	lavasplashlg	1	2400																					1				1000											2000																																																																																																																																																																										2500				1																																																																																																								
ReImagined HPI Compile\ReIm_Weapons\Corah_weapon.CORAH_WEAPON	199	Missiles	1	1	1	missile	600	2	5	660	470	154	50000	48	0	rockhvy2	xplomed2	70	.1	1	1	1	1	10000	fx	explode3	fx	h2o	fx	lavasplash	1	46	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97																																																																																																																																																																																															97	97	97	97																																																																																																				
ReImagined HPI Compile\ReIm_Weapons\Coramph_weapon.CORAMPH_WEAPON1	159	Plasma Cannon	4		1		230	1.9		210				48		cannon1	xplomed3								fx	explode3	fx	h2o	fx	lavasplash	1	80																					1			-35																																																																																																																																																																																																																																																																																																		
ReImagined HPI Compile\ReIm_Weapons\Coramph_weapon.CORAMPH_WEAPON2	192	High Energy Laser	0	1	1		300	1.05		700				12		lasrhvy3	lasrhit1	90						300	fx	explode5	fx	h2oboom1	fx	lavasplashsm		90																											96	1	98							100																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\Corarch_weapon.CORARCH_WEAPON1	178	Missiles	1	1	1	missile	710	2	5	450	430	121	30000	48	0	rockhvy2	xplomed2	70	.1	1	1	1	1	8000	fx	explode3	fx	h2o	fx	lavasplash	1	57	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108																																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\Corarch_weapon.CORARCH_WEAPON2	179	Missiles	1	1	1	missile	710	2	5	450	430	121	30000	48	0	rockhvy2	xplomed2	70	.1	1	1	1	1	8000	fx	explode3	fx	h2o	fx	lavasplash	1	57	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108	108																																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\Corarch_weapon.CORARCH_WEAPON3	180	Flak Cannon	4		1		750	0.7	1	950				125		canlite2	xplomed2							767	fx	explode2	fx	h2o	fx	lavasplash	1	146																					1	1	0.90	-24	1000	1	1																																																																																																																																																																																																																																																																																															
ReImagined HPI Compile\ReIm_Weapons\Coratl_weapon.CORATL_TORPEDO	147	Unguided Torpedo	1	1	1	advtorpedo	600	4.4	3	85	50	10	30500	16		torpedo1	xplodep1			1	1	1		2767	fx	explode3	fx	h2oboom1	fx	lavasplashsm		1000																										1				1	1																																																																																																																																																																																																																																																																																											
ReImagined HPI Compile\ReIm_Weapons\Corbuzz_weapon.CORBUZZ_WEAPON	84	Bertha Cannon	4		1		3800	0.5		900				120		xplonuk4	xplonuk1	50						300	fx	NUKE1	fx	h2oboom2	fx	lavasplashlg	1	1800																					1				800											2000																																																																																																																																																																										2500																																																																																																												
ReImagined HPI Compile\ReIm_Weapons\Corfast_weapon.CORFAST_WEAPON	161	Laser	0	1	1		180	.6		450				8		lasrfast	lashit	50						1500	fx	explode5	fx	h2oboom1	fx	lavasplashsm		47																											232	1	234																																																																																																																																																																				1																																																																																																																									
ReImagined HPI Compile\ReIm_Weapons\Corfhlt_weapon.CORFHLT_LASER	49	High Energy Laser	0	1	1		410	1		700				8		Lasrmas2	lasrhit1	90							fx	explode5	fx	h2oboom1	fx	lavasplashsm		195																											96	1	98							75																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\Corflak_weapon.CORFLAK_GUN	43	Flak Cannon	4		1		750	0.7	1	950				125		canlite2	xplomed2							767	fx	explode2	fx	h2o	fx	lavasplash	1	146																					1	1	0.90	-24	1000	1	1																																																																																																																																																																																																																																																																																															
ReImagined HPI Compile\ReIm_Weapons\Corfrt_weapon.CORFRT_MISSILE	148	Missiles	1	1	1	missile	700	2	5	660	460	152	50000	48	0	rockhvy2	xplomed2	70	.1	1	1	1	1	10000	fx	explode3	fx	h2o	fx	lavasplash	1	45	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95																																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\Corhrk_weapon.CORHRK_ROCKET	45	Heavy Rockets	1	1		CorKBMissl1	600	8	5	350		34	28384	60	0	Rockhvy1	xplomed4	100	.1	1		1	1	1000	fx	explode3	fx	h2oboom2	fx	lavasplashlg	1	240																							0.50									1		1	10						1																																																																																																																																																																																																																																																																																	
ReImagined HPI Compile\ReIm_Weapons\Corhunt_weapon.CORHUNT_WEAPON	162	Plasma Cannon	4		1		320	1.8		210				48		cannon2	xplomed4								fx	explode3	fx	h2o	fx	lavasplash	1	112																					1																																																																																																																																																																																																																																																																																																					
ReImagined HPI Compile\ReIm_Weapons\Corkrog_weapon.CORKROG_HEAD	149	Annihilator Weapon	0	1	1		700	4		1000				8		annigun1	xplolrg1	90						500	fx	explode5	fx	h2oboom1	fx	lavasplashsm		2500																											144	1	217							2000																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\Corkrog_weapon.CORKROG_FIRE	150	Gauss Cannon	4	1	1		300	1.6		450				8		Krogun1	xplomed2							500	fx	explode5	fx	h2oboom1	fx	lavasplashsm	1	480																								-15																																																																																																																																																																																																																																																																																																		
ReImagined HPI Compile\ReIm_Weapons\Corkrog_weapon.CORKROG_ROCKET	151	Heavy Rockets	1	1		fmdmisl	900	1.4	5	550	250	200	63000	80	0	rocklit1	xplosml2	70	.1	1	1	1	1	9000	fx	explode3	fx	h2o	fx	lavasplash	1	131	383	383	383	383	383	383	383	383	383	383	383	383	383	383	383	383	383	383	383	383												1			15																																																																																																																																																																																																																																																																																							
ReImagined HPI Compile\ReIm_Weapons\Corlevlr_weapon.CORLEVLR_WEAPON	172	Light Cannon	4		1		260	1.83		280				84		canlite3	xplosml3							2000	fx	explode2	fx	h2o	fx	lavasplash	1	180																					1																																																																																																																																																																																																																																																																																																					
ReImagined HPI Compile\ReIm_Weapons\CorMabm_weapon.CORMABM_WEAPON	118	Rocket	1	1		fmdmisl	22000	120	4	800		60	32768	96	200	Rockhvy1	xplomed4	100	.1	1	1	1	1	4000	fx	explode3	fx	h2oboom2	fx	lavasplashlg	1	500																																1		1	60	10000	1				1																																																																																																																																																																	2000	1																																																																																																															
ReImagined HPI Compile\ReIm_Weapons\Cormh_weapon.CORMH_WEAPON	39	Rocket	1	1		cormhmsl	650	9	5	400		40	24384	80	0	Rockhvy1	xplomed4	100	.1	1		1	1	4000	fx	explode3	fx	h2oboom2	fx	lavasplashlg	1	320																																1		1	10						1																																																																																																																																																																																																																																																																																	
ReImagined HPI Compile\ReIm_Weapons\cormine1_weapon.cormine1	33	Level 1 Mine	4				480	3.6		250				175		largegun	exmine1								fx	explode2	fx	h2o				200																					1		0.1																			0	0																																																																															45																																																																																																																																																																																																
ReImagined HPI Compile\ReIm_Weapons\cormine2_weapon.cormine2	36	Blast Mine	4				480	3.6		250				190		largegun	exmine2								fx	explode2	fx	h2o				400																					1		0.05																			0	0																																																																																45																																																																																																																																																																																															
ReImagined HPI Compile\ReIm_Weapons\cormine3_weapon.cormine3	37	Focal Mine	4				480	3.6		250				160		largegun	exmine3								fx	explode2	fx	h2o				700																					1		0.1																			0	0																																																																																	45																																																																																																																																																																																														
ReImagined HPI Compile\ReIm_Weapons\cormine4_weapon.cormine4	61	Wide Blast Mine	4				480	3.6		250				140		largegun	exmine4								fx	explode2	fx	h2o				1100																					1		0.05																			0	0																																																																																		45																																																																																																																																																																																													
ReImagined HPI Compile\ReIm_Weapons\cormine5_weapon.cormine5	63	Whap Mine	4				480	3.6		250				250		largegun	exmine4								fx	explode2	fx	h2o				2000																					1		0.1																			0	0																																																																																			30																																																																																																																																																																																												
ReImagined HPI Compile\ReIm_Weapons\cormine6_weapon.cormine6	74	Nuclear Mine	4				480	3.6		400				400		largegun	xplonuk3								fx	explode2	fx	h2o				4300																					1		0.15																			0	0																																																																																																																																																													2900	2900																																																																																																																	
ReImagined HPI Compile\ReIm_Weapons\Cormort_weapon.CORE_MORT	46	Plasma Cannon	4		1		655	1.45		290				36		cannon1	xplomed3								fx	explode3	fx	h2o	fx	lavasplash	1	55																					1			-35																																																																																																																																																																																																																																																																																																		
ReImagined HPI Compile\ReIm_Weapons\corplas_weapon.CORPLAS_WEAPON	138	Immolator	4	1	1		320	.8		310				70		cannon3	xplosml4								fx	explode2	fx	h2o	fx	lavasplash	1																																																																																																																																																																																																																		10						200	80	150																																																																																																	
ReImagined HPI Compile\ReIm_Weapons\Corscorp_weapon.CORSCORP_WEAPON	181	Paralyzer	0	1	1		320	1.2		600				8		Lasrmas2	lasrhit1								fx	explode5	fx	h2oboom1				400																								0			209	1	211																																																																																																																																																																				1	.04																																																																																																																								
ReImagined HPI Compile\ReIm_Weapons\Corseap_weapon.CORSEAP_WEAPON1	152	Torpedo Launcher	1	1	0	torpedo	300	6	5	100	100	15	15000	16		bombrel	xplodep2			1	1	1		12000	fx	explode3	fx	h2oboom1	fx	lavasplashsm		400																										1				1	1																																																																																																																																																																																																																																																																																											
ReImagined HPI Compile\ReIm_Weapons\Corseap_weapon.CORSEAP_WEAPON2	194	Torpedo Launcher	1	1	0	torpedo	300	6	5	100	100	15	15000	16		bombrel	xplodep2			1	1	1		12000	fx	explode3	fx	h2oboom1	fx	lavasplashsm		400																										1				1	1																																																																																																																																																																																																																																																																																											
ReImagined HPI Compile\ReIm_Weapons\Corseap_weapon.CORSEAP_WEAPON3	98	Guided Missiles	1	1		missile	510	3	5	480	420	146	16384	48	0	Rocklit3	xplosml2	70	.1	1	1	1	1	8000	fx	explode3	fx	h2o	fx	lavasplash	1	44	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130																																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\CORSENT_weapon.CORSENT_GUN	133	Flak Cannon	4		1		720	.95	1	900				110		canlite2	xplomed2							767	fx	explode3	fx	h2o	fx	lavasplash	1	130																					1	1	0.90	-24	1000	1	1																																																																																																																																																																																																																																																																																															
ReImagined HPI Compile\ReIm_Weapons\Corsfig_weapon.CORSFIG_WEAPON	76	Guided Missiles	1	1		missile	510	3	6	522	420	146	19384	48	0	Rocklit3	xplosml2	70	.1	1	1	1	1	8000	fx	explode3	fx	h2o	fx	lavasplash	1	50	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140																																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\Corsfig_weapon.CORSFIG_WEAPON2	97	Guided Missiles	1	1		missile	510	3	6	522	420	146	19384	48	0	Rocklit3	xplosml2	70	.1	1	1	1	1	8000	fx	explode3	fx	h2o	fx	lavasplash	1	50	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140																																																																																																																																																																																																																																																																																																						
ReImagined HPI Compile\ReIm_Weapons\Corsh_weapon.CORSH_WEAPON	198	Laser	0	1	1		230	.8		400				8		lasrfast	lashit	50							fx	explode5	fx	h2oboom1	fx	lavasplashsm		40																											232	1	234																																																																																																																																																																				1	.02										.2																																																																																																														
